COLETA MECANIZADA E TRANSPORTE DE ENTULHO (EM TONELADAS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total lote;Média
Lote I;11.136,430;11.967,740;13.291,550;10.210,250;16.524,560;18.222,170;19.140,670;15.923,080;16.019,720;10.081,440;12.473,510;13.951,850;168.942,97;14.079
Lote II;9.018,080;10.094,070;9.228,290;9.954,100;7.763,580;9.688,370;10.011,120;9.625,050;9.085,740;9.412,670;16.851,560;20.679,030;131.411,66;10.951
Lote III;7.675,430;6.937,970;5.341,900;6.497,900;8.710,110;8.163,060;10.620,790;7.784,660;5.796,740;12.555,490;15.550,570;18.181,350;113.815,97;9.485
Total;27.829,94;28.999,78;27.861,74;26.662,25;32.998,25;36.073,60;39.772,58;33.332,79;30.902,20;32.049,60;44.875,64;52.812,23;414.170,60;34.514
