Nº;Contrato;Empresa;Data de assinatura/ Início da vigência;Objeto;Data do término da vigência;Valor (R$);Executores e Suplentes
1;02/2016;AGIEL;25/02/2019;CONTRATAÇÃO DE ESTAGIÁRIOS;24/02/2021;MENSAL: R$ 41.869,69 ANUAL: R$ 502.436,28;PATRÍCIA LEMOS XAVIER / SIRLANE ALVES DA SILVA
2;01/2017;COMISSÃO JOVEM GENTE COMO A GENTE;02/01/2017;CONTRATAÇÃO DE ASSOCIAÇÃO DE PESSOAS COM DEFICIÊNCIA FÍSICA, PARA DAR SUPORTE ÀS UNIDADES DA ESTRUTURA DO SLU;02/01/2022;MENSAL: 184.347,52 ANUAL: 2.212.170,24;PATRÍCIA LEMOS XAVIER / SIRLANE ALVES DA SILVA
3;12/2019;FUNAP;08/05/2019;FORNECIMENTO DE MÃO-DE-OBRA DE REEDUCANTO EM REGIME SEMIABERTO;08/05/2021;MENSAL: R$: 16.603,40 ANUAL: R$: 199.240,80;LUCRÉCIA DE CARVALHO SILVA / ADALCI AZEVEDO VALENTIM
