;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;SET;OUT;NOV;DEZ;Total lote;;;Média;
Lote I;;;16.184,08;;;15.958,690;;;16.655,780;;;16.633,46;;;15.903,66;;;15.978,01;;;16.748,59;;;15.874,21;;14.842,60;15.881,500;15.568,290;14.513,870;190.742,74;;15.895,23;;
Lote II;;;15.185,760;;;14.112,940;;;15.890,910;;;16.512,69;;;13.909,17;;;15.475,02;;;15.367,65;;;18.872,71;;18.122,37;17.251,390;14.437,085;13.048,50;188.186,20;;15.682,18;;
Lote III;;;16.164,670;;;15.852,260;;;18.069,560;;;21.991,67;;;19.990,22;;;19.427,72;;;19.600,54;;;18.276,31;;15.813,420;17.417,930;17.038,090;16.980,300;216.622,69;;18.051,89;;
Total;;;47.534,51;;;45.923,89;;;50.616,25;;;55.137,82;;;49.803,05;;;50.880,75;;;51.716,78;;;53.023,23;;48.778,39;50.550,82;47.043,47;44.542,67;595.551,63;;49.629,30;;
