Abril;R$ 628.278,75;R$ 43,62/ R$ 43,09;R$ 171.334,52;R$ 52,29/ R$ 26,31;R$ 389.480,60;R$ 31,61 / R$ 18,3;R$ -;R$ 748,73/ R$ 995,4;R$ 1.189.093,87
Maio;R$ 579.583,34;R$ 43,09;R$ 139.915,52;R$ 26,31;R$ 327.902,88;R$ 18,30;R$ -;R$ 995,40;R$ 1.047.401,74
Junho;R$ 635.649,03;R$ 43,09;R$ 148.228,96;R$ 26,31;R$ 331.883,13;R$ 18,30;R$ -;R$ 995,40;R$ 1.115.761,12
Julho;R$ 604.951,71;R$ 43,09;R$ 123.883,79;R$ 26,31;R$ 283.805,37;R$ 18,30;R$ -;R$ 995,40;R$ 1.012.640,87
Agosto;R$ 554.862,92;R$ 41,51;R$ 116.835,19;R$ 23,21;R$ 456.638,07;R$ 28,42;R$ -;R$ 150,00;R$ 1.128.336,18
Setembro;R$ 613.391,16;R$ 46,16;R$ 145.076,99;R$ 27,95;R$ 451.491,66;R$ 29,14;R$ -;R$ 634,41;R$ 1.209.959,81
Outubro;R$ 759.427,09;R$ 46,16;R$ 154.650,42;R$ 27,95;R$ 622.999,80;R$ 29,14;R$ 41.871,06;R$ 634,41;R$1.578.948,37
Novembro;R$ 692.749,02;R$ 45,64;R$ 153.691,88;R$ 27,63;R$ 601.847,81;R$ 28,81;R$ 74.640,37;R$ 627,23;R$ 1.522.929,08
Dezembro;R$ 687.932,96;R$ 44,96;R$ 132.931,46;R$ 23,86;R$ 644.757,94;R$ 29,02;R$ 132.042,02;R$ 631,78;R$ 1.597.664,38
TOTAL;R$ 7.719.643,10;;R$ 2.093.080,15;;R$ 5.836.005,52;;R$ 722.499,54;;R$ 16.371.228,31
Média;R$ 643.303,59;;R$ 174.423,35;;R$ 486.333,79;;R$ 60.208,30;;R$ 1.364.269,03
