3º TRIMESTRE;;;;;;;
CURSO;;Acordo Ortográfico da Língua Portuguesa;;EGOV;;1;
;Atendimento ao Público;;;;2;;
;Atualização em Gramática da Língua Portuguesa;;;;1;;
;Lei de Licitações e Contratos – Lei nº 14.133/2021;;;;4;;
;Mapeamento, análise e modelagem de processos;;;;1;;
;Liderança e Produtividade;;;;17;;
;Aumentando sua produtividade com Inteligência Artificial em 7 passos;;;;1;;
;Boas Práticas em Língua Portuguesa e Redação;;;;1;;
;Desenvolvendo projetos de ouvidoria;;;;1;;
;Sistema Eletrônico de Informações (SEI) – Módulo: Usar;;;;3;;
