;TIPO DE DESPESA;;;TOTAL;;;MÉDIA/MÊS;
;Pessoal técnico administrativo;;-;;;-;;
;Limpeza Pública;;R$ 16.563.415;;;R$ 1.380.285;;
;Obras /Materiais Permanentes;;-;;;-;;
;Manutenção Administrativa;;R$ 7.457;;;R$ 621;;
;TOTAL;;;R$ 16.570.872;;;R$ 1.380.906;
