00094-00001673/2025-13;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA ORGANIZAÇÃO DE EVENTOS PARA A REALIZAÇÃO DO DIA DO GARI, VISANDO À PROMOÇÃO DE AÇÃO DE VALORIZAÇÃO DOS TRABALHADORES DA LIMPEZA URBANA, INCLUINDO O FORNECIMENTO DE INFRAESTRUTURA, ALIMENTAÇÃO, ATRAÇÕES CULTURAIS, BRINDES, APOIO LOGÍSTICO E SERVIÇOS CORRELATOS;ADESÃO A ARP;CONCLUÍDA;R$ 1.123.965,08 R$ 136.000,00
00094-00004440/2024-83;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MODERNIZAÇÃO DA INFRAESTRUTURA TECNOLÓGICA DA UNIDADE DE RECOLHIMENTO DE ENTULHO (URE/SLU), A FIM DE ATENDER ÀS NECESSIDADES DAS INSTALAÇÕES FÍSICAS DO SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL - SLU;ADESÃO A ARP;CONCLUÍDA;R$ 224.225,50
00094-00004309/2025-05;AQUISIÇÃO DE 03 (TRÊS) CAMINHÕES COM IMPLEMENTOS, INCLUINDO O FORNECIMENTO COM A RESPECTIVA CARGA, TRANSPORTE E DESCARGA DO BEM, PARA UTILIZAÇÃO NO COMPLEXO DE INTEGRADO DE RECICLAGEM DO DISTRITO FEDERAL – CIR, VISANDO PERMITIR O CUMPRIMENTO DAS OBRIGAÇÕES ASSUMIDAS NO CONVÊNIO Nº 2/2024 - SEMA/SLU/CENTCOOP E NO RESPECTIVO PLANO DE TRABALHO;ADESÃO A ARP;ADESÃO AUTORIZADA PELO ÓRGÃO GERENCIADOR. AUTORIZADA A CONTRATAÇÃO. EMPENHADO, AGUARDANDO ASSINATURA DO CONTRATO.;R$ 1.833.000,00
00094-00005525/2025-60;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA MODERNIZAÇÃO DA INFRAESTRUTURA TECNOLÓGICA E ELÉTRICA DAS UNIDADES DO SERVIÇO DE LIMPEZA URBANA - SLU/DF;ADESÃO A ARP;CONCLUÍDA;R$ 975.080,50
00094-00005516/2025-79;CONTRATAÇÃO DE SERVIÇO DE INSTALAÇÃO COM FORNECIMENTO DE SISTEMA DE MONITORAMENTO ELETRÔNICO, SISTEMA DE CONTROLE DE ACESSO, CABEAMENTO ESTRUTURADO METÁLICO E ÓTICO, ATIVOS DE REDE, REDE WIRELES, PROTEÇÃO DE DADOS E INFRAESTRUTURA EM GERAL, A FIM DE ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL;ADESÃO A ARP;CONCLUÍDA;R$ 247.361,00
00094-00007583/2025-28;CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, POR MEIO DO REGISTRO DE PREÇOS, PARA A AQUISIÇÃO DE ESTAÇÕES DE TRABALHO (DESKTOPS), EQUIPAMENTOS MÓVEIS (NOTEBOOKS) E MONITORES SOBRESSALENTES (110 COMPUTADORES);ADESÃO A ARP;CONCLUÍDA;R$ 369.490,00
00094-00006524/2025-32;CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DE LICENÇAS DE SOFTWARES DE DESIGN GRÁFICO, COM DIREITO DE ATUALIZAÇÃO E SUPORTE;ADESÃO A ARP;CONCLUÍDA;R$ 90.587,70
00094-00006947/2025-52;CONTRATAÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA DE INSTALAÇÃO COM FORNECIMENTO DE CÂMERAS DE MONITORAMENTO E SISTEMA DE CONTROLE DE ACESSO, A FIM DE ATENDER ÀS NECESSIDADES DO SERVIÇO DE LIMPEZA URBANA - SLU;ADESÃO A ARP;CONCLUÍDA;R$ 37.478,64
00094-00004985/2024-90;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO DE MONITORES MULTIMÍDIA COM WEBCAM INTEGRADA, BEM COMO MANUTENÇÃO E GARANTIA DE 60 (SESSENTA) MESES;ADESÃO A ARP;CONCLUÍDA;R$ 402.584,00
00094-00000398/2025-11;CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO, POR MEIO DO REGISTRO DE PREÇOS, PARA A AQUISIÇÃO DE ESTAÇÕES DE TRABALHO (DESKTOPS), EQUIPAMENTOS MÓVEIS (NOTEBOOKS) E MONITORES SOBRESSALENTES (90 COMPUTADORES);ADESÃO A ARP;CONCLUÍDA;R$ 302.310,00
