TIPO;EVENTO;ÓRGÃO;NÚMERO DE SERVIDORES CERTIFICADOS
Curso;Sistema Eletrônico de Informações (SEI);Egov;14
;Elaboração de Projeto Básico e Termo de Referência;;10
;Administração Orçamentária, Financeira, Patrimonial e Contábil;;2
;Retenção do ISS e do IRRF;;2
;Liderança;;1
;Coaching com Autoliderança;;1
