QUADRO DEMONSTRATIVO COMPOSTAGEM;;
;Saída de composto doação;Saída de composto vendas
Janeiro;226.010;0
Fevereiro;0;0
Março;975.780;0
Abril;1.194.510;0
Maio;1.382.940;0
Junho;940.000;0
Julho;2.119.020;0
Agosto;0;0
Setembro;3.811.390;179.460
Outubro;2.422.370;0
Novembro;1.906.800;0
Dezembro;0;0
Total;14.978.820;179.460
Total Geral;15.158.280 quilogramas;
