Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
21;39/2018;ASSOCIAÇÃO PRÉ-COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE CEILÂNDIA - APCORC;06/11/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;09/11/2020;MENSAL: R$ 104.202,00 ANUAL: R$ 1.250.424,00;HALLANA DE SOUSA CARDOSO/SÉRGIO LOPES DE OLIVEIRA/JOSÉ ROMILDO DOS SANTOS;VIGENTE
22;64/2018;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO DF - RECICLA BRASÍLIA;18/12/2018;COLETA SELETIVA DE RESÍDUOS RECICLÁVEIS;17/12/2019;MENSAL: 42.823,63 ANUAL: R$ 513.883.56;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/FRANCISCO ANTÔNIO MENDES JORGE;VENCIDO
23;67/2018;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO DF - RECICLA BRASÍLIA;28/12/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;27/12/2019;GLOBAL: 583.948,80;THAIS DE PAIVA RODRIGUES MARTINS LOPES/JOÃO COSTA FREIRE/MARIA DA GUIA PEREIRA DE AZEVEDO;VENCIDO
24;01/2019;ASSOCIAÇÃO DE CATADORES RECICLA MAIS BRASIL;21/01/2019;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2020;MENSAL: R$ 36.224,79 ANUAL: R$ 434.697,48;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
25;02/2019;COOPERATIVA DE RECICLAGEM DO DISTRITO FEDERAL E ENTORNO - COOPERDIFE;21/01/2019;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2020;MENSAL: R$ 38.297,65 ANUAL: R$ 459.571,80;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
26;03/2019;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS VENCENDO OS OBSTÁCULOS;21/01/2019;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;20/01/2021;MENSAL: R$ 36.834,57 ANUAL: R$ 442.014,84;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
27;04/2019;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL - COOPERE;21/01/2019;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;20/01/2021;MENSAL: R$ 38.999,42 ANUAL: R$ 467.993,04;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
28;05/2019;COOPERATIVA DE TRABALHO DE CATADORES DE ECOLIMPO LTDA;21/01/2019;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/07/2020;MENSAL: R$ 36.206,60 ANUAL: R$ 434.479,20;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/FRANCISCO ANTÔNIO MENDES JORGE;VIGENTE
29;68/2018;ASSOCIAÇÃO CENTRAL DE RECICLAGEM DO VARJÃO - CRV;28/12/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;27/12/2019;GLOBAL: R$477.533,16;RAFAEL SOUZA ARAUJO/JOÃO BOSCO ELIAS RABELO/FRANCISCO ANTÔNIO MENDES JORGE;VENCIDO
