;PESO LÍQUIDO POR MÊS (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;
;Mês;;;Pó/Areia;;;Brita 1;;;Brita 2;;;Brita 3;;;Brita 4;;;Rachão;;;Total;
;Janeiro;;705,86;;;0,00;;;4765,80;;;1047,62;;;3221,08;;;0,00;;;;9.740,36;
;Fevereiro;;438,85;;;137,32;;;4533,88;;;1677,59;;;3189,48;;;0,00;;;;9.977,12;
;Março;;1446,30;;;89,55;;;2151,77;;;2449,04;;;3516,02;;;0,00;;;;9.652,68;
;Abril;;2411,65;;;298,17;;;1625,21;;;2151,09;;;2435,98;;;0,00;;;;8.922,10;
;Maio;;877,02;;;47,94;;;2881,33;;;2561,71;;;3012,32;;;6,93;;;;9.387,25;
;Junho;;417,17;;;16,62;;;6988,38;;;2755,56;;;2063,20;;;0,00;;;;12.240,93;
;Julho;;195,67;;;41,78;;;7094,66;;;2433,09;;;1937,38;;;0,00;;;;11.702,58;
;Agosto;;160,33;;;10,52;;;5900,05;;;2148,92;;;4157,15;;;0,00;;;;12.376,97;
;Setembro;;67,40;;;15,84;;;5804,35;;;2352,00;;;3672,81;;;9,67;;;;11.922,07;
;Outubro;;242,18;;;15,92;;;6059,80;;;2248,94;;;3401,36;;;0,00;;;;11.968,20;
;Novembro;;298,43;;;53,54;;;5233,13;;;1843,39;;;2672,62;;;10,57;;;;10.111,68;
;Dezembro;;880,31;;;34,93;;;5917,31;;;1865,80;;;2550,99;;;0,00;;;;11.249,34;
;TOTAL;;;8.141,17;;;762,13;;;58.955,67;;;25.534,75;;;35.830,39;;;27,17;;;129.251,28;
