CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;;;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;;
;;;ASSINATURA/;;;;;;;;;
;;;INÍCIO DA VIGÊNCIA;;;;;;;;;
22/2010;AR (CONDOMÍNIO);17/09/2010;;;ALUGUEL DA SEDE - 6º ANDAR;;;18/09/2025;VALOR GLOBAL: 1.606.579,68;;LUÍS FERNANDO MONTEIRO;
;;;;;;;;;;;BARBOSA, FLÁVIO RODRIGUES DE;
;;;;;;;;;;;QUEIROZ MACEDO;
05/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;03/05/2022;;;;DEMANDA E FORNECIMENTO DE ENERGIA;;03/05/2027;TOTAL: R$ 275.000,00;;FABIENE FREIRE AMORIM, SERGIO;
;;;;;;ELÉTRICA PARA A LOCALIDADE: COMPLEXO;;;;;FERNANDES DE FARIA, LUIS;
;;;;;;NORTE – SGO, QUADRA 05, LOTE 23 – BRASÍLIA-;;;;;FERNANDO MONTEIRO BARBOSA,;
;;;;;;DF;;;;;MARCONE MENDONÇA DE ARAÚJO;
06/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;20/04/2022;;;;DEMANDA E FORNECIMENTO DE ENERGIA;;20/04/2027;TOTAL: R$ 66.539,00;;FABIENE FREIRE AMORIM, SERGIO;
;;;;;;ELÉTRICA PARA A LOCALIDADE: ÁREA ESPECIAL;;;;;FERNANDES DE FARIA, LUIS;
;;;;;;QUADRA 15 CONJUNTO C1 - SCIA, CIDADE;;;;;FERNANDO MONTEIRO BARBOSA,;
;;;;;;ESTRUTURAL;;;;;MARCONE MENDONÇA DE ARAÚJO;
39/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A.;25/08/2022;;;FORNECIMENTO DE ENERGIA ELÉTRICA AO ATERRO SANITÁRIO DE BRASÍLIA;;;25/08/2027;R$ 634.420,00;;FABIENE FREIRE AMORIM, SERGIO;
;;;;;;;;;;;FERNANDES DE FARIA, LUIS;
;;;;;;;;;;;FERNANDO MONTEIRO BARBOSA,;
;;;;;;;;;;;MARCONE MENDONÇA DE ARAÚJO;
07/2022;NEOENERGIA DISTRIBUICAO BRASILIA S.A;07/06/2022;;;DEMANDA E FORNECIMENTO DE ENERGIA ELÉTRICA PARA VÁRIAS LOCALIDADES;;;07/06/2027;TOTAL: R$ 29.617,92;;FABIENE FREIRE AMORIM, SERGIO;
;;;;;;;;;;;FERNANDES DE FARIA, LUIS;
;;;;;;;;;;;FERNANDO MONTEIRO BARBOSA,;
;;;;;;;;;;;MARCONE MENDONÇA DE ARAÚJO;
21/2017;PILARES SERVIÇOS ADMINISTRATIVOS LTDA;26/07/2017;;;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE;;01/01/2026;VALOR GLOBAL: R$ 501.600,00;;ADRIANA CESÁRIO DA CONCEIÇÃO,;
;;;;;;CENTRO DE TRIAGEM - SCIA, GUARÁ,;;;;;ANDRÉ LUIZ JUNQUEIRA;
;;;;;;BRASÍLIA/DF;;;;;GUIMARÃES;
30/2017;NAVARRO PROCESSAMENTO DE DADOS LTDA – ME;17/10/2017;;;;LOCAÇÃO DE GALPÃO PARA A INSTALAÇÃO DE;;01/01/2026;VALOR GLOBAL: 402.833,20;ANDRE LUIZ JUNQUEIRA GUIMARÃES/ LUCAS LEVI DE JESUS SANTANA;;
;;;;;;CENTRO DE TRIAGEM NO SETOR DE;;;;;;
;;;;;;ARMAZENAMENTO E ABASTECIMENTO NORTE –;;;;;;
;;;;;;SAAN, BRASÍLIA/DF;;;;;;
56/2024;NEOENERGIA DISTRIBUICAO BRASILIA S.A.;31/12/2024;;;;ESTE CONTRATO TEM POR OBJETO A PRESTAÇÃO;;31/12/2025;R$ 514.800,00;;FABIENE FREIRE AMORIM, LUIS;
;;;;;;PELA DISTRIBUIDORA DO SERVIÇO PÚBLICO DE;;;;;FERNANDO MONTEIRO BARBOSA,;
;;;;;;DISTRIBUIÇÃO DE ENERGIA ELÉTRICA AO;;;;;SERGIO FERNANDES DE FARIA,;
;;;;;;CONSUMIDOR.;;;;;MARCONE MENDONÇA DE ARAÚJO;
