Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
1;01/2018;SECRETARIA DE ESTADO DE SAÚDE COM SLU;10/05/2018;Promoção da coleta, do transporte, destinação adequada e tratamento adequado do lixo hospitalar (RSS) provenientes de todos os estabelecimentos da rede de saúde SES/DF;10/05/2023;Valor será repassado à SES/DF para ressarcir o SLU/DF;N/A
2;03/2017;SLU COM BRB;20/10/2017;Conta Vinculada - Acordo de Cooperação;20/10/2022;Não envolve a transferência de recursos financeiros;N/A
