ATENDIMENTO À IMPRENSA;;;;;;;;;;;;;
;Jan;Fev;Mar;Abril;Maio;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Rádio;1;2;4;8;2;1;0;0;3;7;2;1;31
Revista;0;0;0;2;0;0;0;0;0;0;0;0;2
Jornal;21;6;9;8;10;5;4;9;4;13;12;3;104
Portal;4;10;9;22;7;3;3;4;9;15;3;4;93
Tv;39;43;34;66;0;3;26;19;15;53;26;38;362
Outros;3;2;4;5;8;1;3;2;0;4;2;2;36
Facebook;0;0;4;0;1;0;0;0;5;0;0;0;10
Total;68;63;64;111;28;13;36;34;36;92;45;48;638
