;;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;SET;OUT;NOV;DEZ;Total;Média;
;ASB;;71.835,16;;60.328,28;;62.302,81;;64.028,76;;62.155,29;;56.902,39;;61.248,21;;59.443,69;;62.326,10;65.687,56;67.119,78;79.715,04;773.093,07;64.424,42;
;URE;;124.559,24;;116.564,01;;123.918,79;;128.176,51;;119.749,74;;111.065,32;;122.911,35;;129.707,53;;132.041,80;143.296,16;131.163,90;67.504,27;1.450.658,62;120.888,22;
;Total;;;196.394,40;;176.892,29;;186.221,60;;192.205,27;;181.905,03;;167.967,71;;184.159,56;;189.151,22;194.367,90;208.983,72;198.283,68;147.219,31;2.223.751,69;185.312,64;
