;;;JAN;;FEV;;MAR;;;ABR;;;MAI;;;JUN;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;DEZ;;;Total;;;Média;
;ASB;69.011,00;;63.260,85;;;68.443,54;;62.181,06;;;58.102,92;;;59.233,37;;;58.446,23;;58.462,54;;;58.121,88;;;64.558,00;;;65.474,27;;;75.485,72;;760.781,38;;;63.398,45;;
;URE;112.149,15;;106.349,73;;;128.221,05;;134.485,45;;;123.095,19;;;125.414,13;;;127.435,97;;132.840,11;;;120.061,95;;;115.676,86;;;115.163,81;;;125.251,91;;1.466.145,31;;;122.178,78;;
Total;;181.160,15;;169.610,58;;;196.664,59;;196.666,51;;;181.198,11;;;184.647,50;;;185.882,20;;191.302,65;;;178.183,83;;;180.234,86;;;180.638,08;;;200.737,63;;2.226.926,69;;;185.577,22;;
