;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;707,04;;;590,61;;;651,77;;;678,56;;;626,12;;;629,18;;;714,97;;;787,18;;;853,04;;;791,44;;;694,42;;;757,85;;;;8.482,18;;;706,85;
;Lote II;;417,27;;;313,17;;;448,00;;;382,89;;;332,93;;;409,55;;;394,79;;;391,17;;;467,70;;;508,62;;;487,25;;;544,48;;;;5.097,82;;;424,82;
;Lote III;;1.784,69;;;795,43;;;756,22;;;863,73;;;734,90;;;750,53;;;752,81;;;508,53;;;682,58;;;730,24;;;471,14;;;1055,3;;;;9.886,10;;;823,84;
;Total;;;2.909,00;;;1.699,21;;;1.855,99;;;1.925,18;;;1.693,95;;;1.789,26;;;1.862,57;;;1.686,88;;;2.003,32;;;2.030,30;;;1.652,81;;;2.357,63;;;23.466,10;;;1.955,51;
