;Custo da Operação dos Papa Entulho (PEV);;;;;;;;;;;;;
Mês;;;;Coleta e transporte;;;Coleta e transporte manual;;;Coleta e Transporte manual;;Custo total;;
;;;;mecanizado de entulho;;;de podas;;;de Resíduos Volumosos;;;;
;Janeiro;;R$ 96.831,31;;;R$ 45.955,40;;;R$ 46.346,62;;;R$ 189.133,33;;
;Fevereiro;;R$ 100.032,35;;;R$ 45.955,40;;;R$ 46.346,62;;;R$ 192.334,37;;
;Março;;R$ 100.032,35;;;R$ 45.955,40;;;R$ 46.346,62;;;R$ 192.334,37;;
;Abril;;R$ 100.032,35;;;R$ 45.955,40;;;R$ 46.346,62;;;R$ 192.334,37;;
;Maio;;R$ 100.050,46;;;R$ 45.955,40;;;R$ 46.346,62;;;R$ 192.352,48;;
;Junho;;R$ 103.283,80;;;R$ 47.753,92;;;R$ 48.145,14;;;R$ 199.182,86;;
;Julho;;R$ 103.283,80;;;R$ 47.753,92;;;R$ 48.145,14;;;R$ 199.182,86;;
;Agosto;;R$ 103.283,80;;;R$ 47.753,92;;;R$ 48.145,14;;;R$ 199.182,86;;
;Setembro;;R$ 103.283,80;;;R$ 47.753,92;;;R$ 48.145,14;;;R$ 199.182,86;;
;Outubro;;R$ 103.283,80;;;R$ 47.753,92;;;R$ 48.145,14;;;R$199.182,86;;
;Novembro;;R$ 103.283,80;;;R$ 47.753,92;;;R$ 48.145,14;;;R$199.182,86;;
;Dezembro;;R$ 103.283,80;;;R$ 47.753,92;;;R$ 48.145,14;;;R$199.182,86;;
;TOTAL;;;R$ 1.219.965,42;;;R$ 564.054,44;;;R$ 568.749,08;;;R$ 2.352.768,94;
