;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;;;Média;
;Lote I;;307,19;264,4;317,19;250,21;253,42;224,37;254,66;248,45;230,68;226,15;236,76;264,66;3.078,14;;;256,51;
;Lote II;;967,06;918,27;1.138,83;1.029,25;993,7;1007,94;1.028,03;1.045,81;972,96;1.069,43;1.039,71;1.045,87;12.256,86;;;1.021,41;
;Lote III;;565,91;443,95;574,65;476,10;436,91;406,3;402,32;412,54;369,24;422,58;354,94;414,25;5.279,69;;;439,97;
;Total;;1.840,16;1.626,62;2.030,67;1.755,56;1.684,03;1.638,61;1.685,01;1.706,80;1.572,88;1.718,16;1.631,41;1.724,78;20.614,69;;;1.717,89;
