55/2024;CAESB;31/12/2024;;O PRESENTE CONTRATO TEM POR OBJETO A;;31/12/2025;R$ 514.800,00;FABIENE FREIRE AMORIM, LUIS FERNANDO MONTEIRO BARBOSA, SERGIO FERNANDES DE FARIA, MARCONE MENDONÇA DE ARAÚJO;;
;;;;PRESTAÇÃO DOS SERVIÇOS PÚBLICOS DE;;;;;;
;;;;ABASTECIMENTO DE ÁGUA, ESGOTAMENTO;;;;;;
;;;;SANITÁRIO E OUTROS SERVIÇOS PARA AS;;;;;;
;;;;DEPENDÊNCIAS DO CONSUMIDOR, REFERENTES;;;;;;
;;;;AOS NÚCLEOS DO SLU E PONTOS DE ENTREGA;;;;;;
;;;;VOLUNTÁRIA - PEVS, NAS UNIDADES DE;;;;;;
;;;;CONSUMO RELACIONADOS NO ANEXO I DESTE;;;;;;
;;;;INSTRUMENTO.;;;;;;
54/2024;NEOENERGIA DISTRIBUICAO BRASILIA S.A.;06/01/2025;;ESTE CONTRATO TEM POR OBJETO A PRESTAÇÃO;;06/01/2026;R$ 1.712.880,00;;FABIENE FREIRE AMORIM, LUIS;
;;;;PELA DISTRIBUIDORA DO SERVIÇO PÚBLICO DE;;;;;FERNANDO MONTEIRO BARBOSA,;
;;;;DISTRIBUIÇÃO DE ENERGIA ELÉTRICA AO;;;;;SERGIO FERNANDES DE FARIA,;
;;;;CONSUMIDOR. ALTA TENSÃO;;;;;MARCONE MENDONÇA DE ARAÚJO;
13/2024;ASA RENT A CAR;08/02/2024;LOCAÇÃO DE VEÍCULOS AUTOMOTORES;;;07/09/2025;R$ 994.938,45;;JOSANE NASCIMENTO DE OLIVEIRA,;
;;;;;;;;;SERGIO FERNANDES DE FARIA;
53/2024;RICARDO ALVES RAMOS DE BRITO EXTINTORES.;27/12/2024;MANUTENÇÃO DE EXTINTORES;;;27/06/2025;;GEOVANI LOPES FERNANDES, ANDERSON MUNIZ DE SOUSA;;
52/2024;MN TECNOLOGIA E TREINAMENTO LTDA;24/12/2024;;CONTRATAÇÃO DA EMPRESA PARA AQUISIÇÃO;;24/12/2025;R$ 43.560,00 (QUARENTA E TRÊS MIL QUINHENTOS E SESSENTA REAIS).;AGUARDANDO;;
;;;;DE 5 (CINCO) LICENÇAS DE SOFTWARE PACOTE;;;;;;
;;;;ALTOQI - EBERICK PREMIUM, PELO PERÍODO 12;;;;;;
;;;;(DOZE) MESES COM CAPACITAÇÃO PARA;;;;;;
;;;;OPERAR O SOFTWARE, E DE 5 (CINCO) LICENÇAS;;;;;;
;;;;DE SOFTWARE PACOTE ALTOQI - BUILDER;;;;;;
;;;;PREMIUM PELO PERÍODO 12 (DOZE) MESES COM;;;;;;
;;;;CAPACITAÇÃO PARA OPERAR OS SOFTWARES;;;;;;
51/2024;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;11/12/2024;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA;;11/12/2025;R$ 1.058.269,15;ANDERSON MUNIZ DE SOUSA, SERGIO FERNANDES DE FARIA;;
;;;;PARA A PRESTAÇÃO DE SERVIÇO DE;;;;;;
;;;;ADMINISTRAÇÃO, GERENCIAMENTO E;;;;;;
;;;;CONTROLE INFORMATIZADOS E INTEGRADOS DE;;;;;;
;;;;GESTÃO DE FROTA COM GERENCIAMENTO DE;;;;;;
;;;;DESPESAS DE ABASTECIMENTOS DE;;;;;;
;;;;COMBUSTÍVEL, POR INTERMÉDIO DE REDE;;;;;;
;;;;CREDENCIADA, PARA ATENDER AS UNIDADES;;;;;;
;;;;QUE DÃO SUPORTE ÀS ATIVIDADES;;;;;;
;;;;ADMINISTRAVAS DO GOVERNO DO DISTRITO;;;;;;
;;;;FEDERAL, CONFORME ESPECIFICAÇÕES E;;;;;;
;;;;CONDIÇÕES ESPECIFICADAS NO EDITAL DE;;;;;;
;;;;PREGÃO ELETRÔNICO;;;;;;
50/2024;PRO SYSTEMS INFORMÁTICA LTDA;02/12/2024;;O CONTRATO TEM POR OBJETO A;;02/12/2025;R$ 75.950,00;AGUARDANDO;;
;;;;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA;;;;;;
;;;;PARA O FORNECIMENTO DE ASSINATURA DE 5;;;;;;
;;;;(CINCO) LICENÇAS DO SOFTWARE AUTODESK;;;;;;
;;;;ARCHITECTURE, ENGINEERING & CONSTRUCTION;;;;;;
;;;;COLLECTION (AEC COLLECTION) PELO PERÍODO;;;;;;
;;;;DE 12 (DOZE) MESES, INCLUINDO;;;;;;
;;;;TREINAMENTOS À DISTÂNCIA (EAD) SOBRE;;;;;;
;;;;AUTOCAD, REVIT, CIVIL 3D, INFRAWORKS,;;;;;;
;;;;NAVISWORKS, RECAP PRO E AUTODESK DOCS;;;;;;
;;;;PARA 10 USUÁRIOS, PARA ATENDIMENTO DAS;;;;;;
;;;;NECESSIDADES DO SERVIÇO DE LIMPEZA;;;;;;
;;;;URBANA;;;;;;
;;;;DO DISTRITO FEDERAL, CONFORME;;;;;;
