Equipamentos limpeza urbana;roteloc rodatcapmoc oãhnimaC;úab roteloc oãhnimaC;aloiag oãhnimaC;úab oãhnimaC;no-llor oãhnimaC;ocot abmaçaC;abmaçac etnalucsab oãhnimaC;+ ocinâcem euqoberrimes olavaC;ariedagerrac áP;subinÔ;airecorrac atreba oãhnimaC;Varredeira mecânica;;l 000.21 apip oãhnimaC;)ariedaxil ,otajordih( e oãgruF rodareg;aniuqám ofi-oiem moc ed rotart arutnip olucíeV ed;evel olucíeV;seragul 7 moc oãgruF;olcicirt otom olucíeV;latoT
;;;;;;;;;;;;ednarG;aneuqeP;;;;;;;
VALOR AMBIENTAL (LOTE I) - Coleta Convencional, Seletiva e Limpeza Urbana;58;4;-;5;-;-;20;8;6;16;2;3;2;5;2;2;8;1;0;142
SUSTENTARE (LOTE II) - Coleta Convencional, Seletiva e Limpeza Urbana;56;0;-;6;-;-;35;3;7;13;2;2;-;4;1;2;7;1;2;141
SUMA (LOTE III) - Coleta Convencional, Seletiva e Limpeza Urbana;55;2;-;5;-;-;26;6;7;15;2;2;0;3;1;2;7;1;0;134
BELFORT Resíduos dos Serviços de Saúde;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
TOTAL;169;6;0;21;0;0;81;17;20;44;6;7;2;12;4;6;22;3;2;422
