;TIPO DE DESPESA;;;TOTAL;
;Pessoal técnico administrativo;;-;;
;Limpeza Pública;;R$ 43.686.814;;
;Obras /Materiais Permanentes;;-;;
;Manutenção Administrativa;;R$ 7.603;;
;TOTAL;;;R$ 43.694.417;
