;DIRETORIAS;;;COM CARGO;;;SEM CARGO;;;TOTAL;
;PRESIDÊNCIA;;39;;;9;;;48;;
;DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;33;;;31;;;64;;
;DIRETORIA DE LIMPEZA URBANA;;54;;;623;;;677;;
;DIRETORIA DE MODERNIZAÇÃO E GESTÃO TECNOLÓGICA;;18;;;1;;;19;;
;DIRETORIA TÉCNICA;;21;;;12;;;33;;
;ASSESSORIA DE CONSTATAÇÃO;;2;;;0;;;2;;
;TOTAL;;;167;;;676;;;843;
