2º TRIMESTRE;;;;;;;;;;
CURSO;;;Sistema Eletrônico de Informações (SEI) – Módulo: Usar;;ENAP;;;;1;
;;Sistema Eletrônico de Informações (SEI) – Módulo: Administrar;;;;;;1;;
;;Elaboração de Termos de Referência para Contratação de bens e Serviços na Nova Lei de Licitções;;;;;;1;;
;;Termo de Referência ou Porjeto Básico para a Contratação de TIC - AVANÇADO;;;;;;1;;
;;Fundamentos da Lei Geral de Proteção de Dados;;;;;;1;;
;;Introdução ao Geranciamento de Áreas Contaminadas;;;;TCB;;2;;
;;Contratação Direta na Nova Lei de Licitações (Lei nº 14.133/2021);;;;ABFP;;1;;
;;Planilhas de Terceirização de Mão de Obra, de acordo com a Lei nº 14.133/2021;;;;TCDF;;1;;
;;EFD -REINF/ E-SOCIAL X DCTFWEB X PER/DCOMP WEB DARF E GRFGTS -Teoria e Prática na Administração Publica;;;;ATHENAS TREINAMENTOS;;7;;
;;Contratação de Ações de Capacitação e Treinamento pela Administração Pública - Como a Realizar, em Conformidade com a Jurisprudência Atual do TCU;;;ONE CURSOS;;;1;;
;;Gestão e Fiscalização de Contratos;;;EGOV;;;4;;
;;Oratória para cursos e palestras;;;;;;2;;
;;Redação sem tropeços;;;;;;7;;
;;Cerimonial e protocolo de eventos;;;;;;1;;
;;Desenvolvimento de competências gerenciais;;;;;;1;;
;;Educação financeira pessoal;;;;;;1;;
;;Ética, uma questão de escolha;;;;;;2;;
;;II Encontro Anual de Qualidade de Vida no Trabalho;;;;;;2;;
;;Lei de Licitações e Contratos – Lei nº 14.133/2021;;;;;;3;;
;;Lei Geral de Proteção de Dados (LGPD) – introdução à legislação e implementação prática;;;;;;2;;
;;Metodologias ativas e imersivas – uma prática significativa para aulas e apresentações;;;;;;1;;
;;Mapeamento, análise e modelagem de processos;;;;;;1;;
;;Oratória para cursos e palestras;;;;;;2;;
;;Normas de funcionamento e de rito processual no âmbito das Comissões de Ética;;;;;;2;;
;;Pesquisa de preço apta a fundamentar contratações públicas;;;;;;1;;
;;Quintas de inovação - Papo de ouvidoria: Qualidade da resposta;;;;;;1;;
;;Procedimentos disciplinares para iniciantes;;;;;;1;;
;;Qualidade de Vida no Trabalho (QVT);;;;;;1;;
;;Software QGIS – Módulo intermediário;;;;;;1;;
;;Treinamento de gestores do Sistema Eletrônico de Informações (SEI)/Sistema de Informação (SIP) - Módulo: Administrar - Versão 4.0;;;;;;1;;
CONGRESSO;;1º Congresso Internacional de Resíduos Sólidos;;;ABES;;;10;;
;CERTIFICADOS EMITIDOS NO 2º TRIMESTRE;;;;;;;;64;
