;Coopere;;;32,73;;;30,93;;;43,39;;;32,00;;;30,06;;;28,51;;;31,52;;;32,83;;;31,69;;;33,16;;;31,00;;;41,13;;;398,95;
;SUSTENTARE;;455,72;;;442,68;;;476,86;;;446,94;;;474,78;;;471,90;;;472,38;;;463,47;;;436,00;;;446,45;;;492,31;;;553,33;;;5.632,82;;
;SANEAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IRR PARANOÁ;;;23,92;;;21,97;;;25,28;;;23,37;;;22,11;;;23,52;;;23,55;;;21,47;;;24,82;;;23,36;;;22,11;;;34,52;;;290,00;
;Recicla Mais;;23,92;;;21,97;;;25,28;;;23,37;;;22,11;;;23,52;;;23,55;;;21,47;;;24,82;;;23,36;;;22,11;;;34,52;;;290,00;;
;Brasil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IRR SAAN;;;6,09;;;-;;;-;;;-;;;-;;;8,35;;;-;;;10,84;;;23,34;;;26,75;;;69,52;;;97,91;;;242,80;
;SUMA BRASIL;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;3,56;;;8,28;;;11,84;
;VALOR;;6,09;;;-;;;-;;;-;;;-;;;8,35;;;-;;;10,84;;;23,34;;;26,75;;;65,96;;;89,63;;;230,96;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IRR SCIA NOVO;;;554,56;;;410,34;;;509,64;;;527,46;;;475,56;;;467,42;;;445,78;;;474,38;;;477,90;;;556,14;;;572,05;;;588,69;;;6.059,92;
;SUMA BRASIL;;;1,62;;;47,32;;;30,12;;;4,27;;;6,92;;;20,47;;;3,71;;;9,19;;;11,82;;;-;;;-;;;18,19;;;153,63;
;VALOR;;552,94;;;363,02;;;479,52;;;523,19;;;468,64;;;446,95;;;442,07;;;465,19;;;466,08;;;556,14;;;572,05;;;570,50;;;5.906,29;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SIA - LINHA DO;;194,61;;;248,41;;;185,43;;;136,47;;;185,68;;;191,24;;;201,23;;;208,56;;;219,58;;;189,96;;;230,36;;;260,82;;;2.452,35;;
;TREM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Renascer;;;14,96;;;16,05;;;20,63;;;19,34;;;16,31;;;19,57;;;18,04;;;19,78;;;17,39;;;17,03;;;16,39;;;20,92;;;216,41;
;SUMA BRASIL;;;137,53;;;18,83;;;-;;;30,00;;;27,63;;;40,39;;;52,02;;;73,01;;;72,59;;;72,24;;;86,82;;;125,15;;;736,21;
;VALOR;;42,12;;;213,53;;;164,80;;;87,13;;;141,74;;;131,28;;;131,17;;;115,77;;;129,60;;;100,69;;;127,15;;;114,75;;;1.499,73;;
;AMBIENTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LTDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;USINA;;7,12;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;17,68;;;24,80;;
;CEILÂNDIA SUL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SUSTENTARE;;7,12;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;-;;;17,68;;;24,80;;
;SANEAMENTO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Geral;;;2.985,90;;;2.900,87;;;3.226,94;;;2.984,22;;;2.895,54;;;2.845,92;;;2.830,84;;;2.866,10;;;2.890,38;;;2.975,52;;;3.194,89;;;3.604,42;;;36.201,53;;
