35/2018;ASSOCIAÇÃO DE CATADORES RECICLA MAIS BRASIL;;;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;04/06/2023;R$ 364.968,00;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
37/2018;COOPERATIVA RENOVE DE RESÍDUOS SÓLIDOS DE BRASÍLIA - CRRSB;;;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;04/06/2023;R$ 218.980,80;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
36/2018;;COOPERATIVA POPULAR DE COLETA;;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;04/06/2023;R$ 218.980,80;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE LUIZ JUNQUEIRA GUIMARÃES;;
;;SELETIVA DE PRODUTOS RECICLÁVEIS;;;;;;;;;;
;;COM FORMAÇÃO EM EDUCAÇÃO;;;;;;;;;;
;;AMBIENTAL - COOPATIVA;;;;;;;;;;
32/2018;;ASSOCIAÇÃO DOS CATADORES DE;;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;04/06/2023;R$ 654.984,00;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE LUIZ JUNQUEIRA GUIMARÃES;;
;;PAPEL, PAPELÃO E MATERIAIS;;;;;;;;;;
;;RECICLAVEIS DO GUARA -;;;;;;;;;;
;;CATAGUAR.;;;;;;;;;;
38/2018;;COOPERATIVA DE RECICLAGEM O;;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;04/06/2023;R$ 656.942,40;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;DISTRITO FEDERAL E ENTORNO -;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;COOPERDIFE;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
34/2018;;ASSOCIAÇÃO DOS CATADORES E;;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;04/06/2023;R$ 267.948,00;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;RECICLADORES DE RESÍDUOS;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
;;SÓLIDOS DE BRAZLÂNDIA - ACOBRAZ;;;;;;;;;LUIZ JUNQUEIRA GUIMARÃES;
31/2018;RECICLE A VIDA COOPERATIVA DE CATADORES DO DF;;;05/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;;;04/06/2023;R$ 1.094.094,00;;FRANCISCO ANTONIO MENDES JORGE, ISABELE NOVAIS;
;;;;;;;;;;;OLIVEIRA, ALEXANDRO DOS SANTOS HENRIQUES E ANDRE;
