;Samambaia;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;51,79;;;62,49;;;76,39;;;77,95;;74,37;342,99;;;28,58;
;Santa Maria 1;;109,24;;;64,06;;;168,32;;;88,61;;;98,63;;;118,22;;;120,07;;;106,48;;;106,10;;;106,17;;;100,03;;116,68;1.302,61;;;108,55;
;Santa Maria 2;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;64,58;;;63,50;;;30,69;;;8,58;;;21,85;;;4,87;;0,00;194,07;;;16,17;
;São Sebastião 1;;95,43;;;16,89;;;189,46;;;131,06;;;190,09;;;38,14;;;18,47;;;33,57;;;15,12;;;20,60;;;31,33;;14,78;794,94;;;66,25;
;São Sebastião 2;;44,84;;;82,94;;;66,39;;;82,57;;;68,18;;;67,66;;;82,83;;;33,35;;;13,04;;;30,17;;;16,33;;33,81;622,11;;;51,84;
;Sobradinho I - 1;;4,22;;;61,66;;;11,61;;;7,97;;;7,19;;;0,00;;;0,00;;;142,51;;;72,64;;;44,87;;;73,14;;124,24;550,05;;;45,84;
;Sobradinho I - 2;;78,87;;;53,87;;;34,51;;;38,59;;;45,81;;;130,80;;;99,29;;;32,04;;;97,58;;;187,00;;;72,58;;114,83;985,77;;;82,15;
;Sobradinho II;;62,36;;;0,00;;;6,57;;;38,59;;;52,37;;;94,84;;;146,79;;;127,69;;;100,85;;;115,40;;;124,26;;135,50;1.005,22;;;83,77;
;Taguatinga;;212,98;;;255,51;;;289,76;;;235,87;;;278,41;;;234,84;;;231,34;;;260,25;;;191,62;;;261,50;;;215,62;;230,91;2.898,61;;;241,55;
;TOTAL;;;2.149,22;;;1.822,04;;;2.182,84;;;1.856,61;;;2.077,84;;;2.068,18;;;2.190,24;;;2.378,44;;;2.211,24;;;2.327,26;;;2.228,58;2.460,05;25.952,54;;;2.162,71;
