;6ª FASE;;;;;;;
;EMPRESA;;;CIDADES;;;Nº DE CERTIFICADOS;
Valor Ambiental;;;Asa Norte;;;41;;
Sustentare;;;Taguatinga;;;86;;
SUMA;;;Águas Claras;;;101;;
;Total;;;;;;228;
