DIRETORIAS;;;COM CARGO;;SEM CARGO;;;TOTAL;;
PRESIDÊNCIA;;;37;;7;;;44;;
DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;;37;;21;;;58;;
DIRETORIA DE LIMPEZA URBANA;;;62;;250;;;312;;
DIRETORIA DE TECNOLOGIA E INOVAÇÃO;;;11;;5;;;16;;
DIRETORIA TÉCNICA;;;23;;40;;;63;;
;TOTAL;;;170;;323;;;493;
