VARRIÇÃO MECANIZADA DE VIAS (EM QUILÔMETROS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total lote;Média
Lote I;2.268,00;2.040,00;1.553,00;1.430,00;2.996,00;3.032,00;2.372,00;2.435,00;2.145,00;3.196,40;5.464,00;7.845,00;36.776;3.065
Lote II;882,00;663,00;671,00;665,00;599,00;0,00;0,00;0,00;0,00;490,00;1.471,00;1.944,00;7.385;615
Lote III;843,00;803,00;811,00;780,00;1.464,00;1.051,00;1.378,00;1.126,00;627,00;1.995,00;3.029,00;3.339,00;17.246;1.437
Total;3.993,00;3.506,00;3.035,00;2.875,00;5.059,00;4.083,00;3.750;3.561;2.772;5.681;9.964;13.128;61.407;5.117
