2º TRIMESTRE;;;;;;
;;;CURSOS;Gestão e Fiscalização de Contratos;EGOV;1
;;;;Lei de Licitações e Contratos - Lei nº 14.133, de 1º de abril de 2021;;2
;;;;Lei Geral de Proteção de Dados (LGPD) - Introdução à Legislação e Implementação Prática;;4
;;;;Sistema Eletrônico de Informações (SEI) - Módulo: Usar;;2
;;;;Elaboração de Projeto Básico e Termo de Referência;;5
;;;;Gestão e Controle de Conta Vinculada aos Contratos de Terceirização;;2
;;;;Aposentadoria Especial em face ao art. 40, $ 4º da Constituição Federal;;1
;;;;Relações autênticas, com base na Comunicação Não Violenta (CNV);;1
;;;;Programa de Ambientação e Integração;;4
;;;;SIGGO essencial - do zero ao avançado : teoria e prática;;1
;;;;Acordo Ortográfico da Língua Portuguesa;;1
;;;;Assédio na Administração Pública;;1
;;;;Gestão de processos;;1
;;;;Comunicando em LIBRAS;;2
;;;;I Encontro Anual de Qualidade de Vida no Trabalho e 2ª Edição do Selo QualiVida;;3
;;;;Assédio na Administração Pública - Combate e Prevenção;;1
;;;;Oratória para cursos e palestras;;1
;;;;Modelo de governança para os Comitês Internos de Governança (CIGs) – diretrizes práticas;;1
;;;;Planejamento Estratégico;;1
;;;;Seminário Saúde Mental: a vida pede equilíbrio;;1
;;;;Procedimentos disciplinares para iniciantes;;1
;;;;Metodologia de Análise e Solução de Problemas;;2
;;;;Servidor público 4.0 – Como a inovação pode transformar o serviço público e acelerar a sua carreira?;;5
;;;;Aulões da Egov: Gestão de riscos e a Lei de Licitações e Contratos Administrativos (Lei nº 14.133, de 1º de abril de 2021);;1
;;;PALESTRA;Aulões da Egov: Decreto nº 44.330 , que regulamenta a Nova Lei de Licitações e Contratos (Lei nº 14.133 /2021);;2
;;;CURSOS;Módulo 5 do Programa de Capacitação Técnica de Servidores do SLU;FRAL;23
;;;;Computação: Fundamentos;IFRS;1
;;;;Elaboração de Panilhas Orçamentárias de Obras e Serviços de Engenharia;R8;24
;;;;Comunicação Escrita;BRADESCO;2
;;;;Microsoft Excel 2016;;2
;;;;Introdução ao Gerenciamento de áreas Contaminadas;SENAC/AESAS;1
;;;;Investigação Confirmatória;;9
;;;;Acesso à Informação;ENAP;1
