;;Ética, uma questão de escolha;;2
;;Formação em ouvidoria;;1
;;Gestão de Processo;;1
;;Metodologia de Análise e Solução de Problemas;;2
;;Produtividade e melhoria do clima Organizacional;;1
;;Sistema Eletrônico de Informações (SEI) Modulo Usar;;27
;;Atendimento em Ouvidoria (Casos complexos);;2
;;Aulão da EGOV : Nova Lei de Licitações e Contratos - Por onde começar;;1
;;Aulões EGOV : Decifrando a LGPD;;1
;;Capacitação da ferramenta do SIGHWEB-GFIB;;1
;;Comunicação no Ambiente de Ouvidoria;;3
;;Capacitaçao no Sistema de Gestão de Contratos (e-contratos DF);;2
;;Informática - Excel intermediário , com introdução no PowerBI;;1
;;Instrução Normativa SLTI/MPOG;;2
;;Liderando no Setor Público;;1
;;Média training;;1
;;Nova Lei de Licitações e Contratos;;11
;;Palestra: Comunicação com Conexão (CNV);;2
;;Processo Administrativo Disciplinar (PAD);;1
;;Retenção do Imposto sobre Serviços de qualquer Natureza (ISS);;2
;;Acordo Ortográfico da Língua Portuguesa;;1
;;Sistema único de Gestão de Recursos Humanos (SIGRH) Módulo: Acerto de contas;;1
;;Aulão da EGOV: Como perder o medo defalar em público? Técnicas de Oratória - EGOV;;1
;;Elaboração de Projeto Básico e Termo de Referência - EGOV;;1
;;O modelo de governança na área de Gestão de Pessoas - EGOV;;1
;;Virando a chave com a comunicação Não Violenta (CNV) - Oficina: A arte de escutar - Desenvolva essa habilidade;;2
;;Gestão por Competência;ENAP;2
;;Introdução ao Orçamento Público;;1
;;Curso Básico de Licitações;;1
;;Orçamento Público;;2
;;Prevenção e Detecção de Cartéis em Licitações;;1
;;Introdução à Vigilância Sanitária;;10
;;Sistema Eletrônico de Informações - SEI!USAR;;6
;;Ética e Serviço Público;;2
;;Comunicação não Violenta;;2
;;Planejamento e Organização Pessoal no Trabalho;;1
;;Planejamento Estratégico para Organizações Públicas;;1
;;Criatividade e Novas Tecnologias para facilitar o seu dia a dia no trabalho;;1
;;Como Fiscalizar com Eficiência Contratos Públicos;;1
;;Introdução à Libras;;1
;;Compras Sustentáveis e a Nova Lei de Licitações;;1
;;Introdução à Auditoria de Obras Públicas;;1
;;Novo Marco Regulatório do Saneamento Básico;;1
;;ELABORAÇÃO DE TERMOS DE REFERÊNCIA PARA CONTRATAÇÃO DE BENS E SERVIÇOS - ENAP;;1
;;Redação Oficial e Noções de SEI e suas aplicações;;1
