;DIRETORIAS;;;COM CARGO;;;SEM CARGO;;;TOTAL;
;PRESIDÊNCIA;;36;;;10;;;46;;
;DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;33;;;43;;;76;;
;DIRETORIA DE LIMPEZA URBANA;;54;;;674;;;728;;
;DIRETORIA DE MODERNIZAÇÃO E GESTÃO TECNOLÓGICA;;18;;;3;;;21;;
;DIRETORIA TÉCNICA;;20;;;13;;;33;;
;PROCURADORIA JURÍDICA;;7;;;0;;;7;;
;TOTAL;;;168;;;743;;;911;
