COOPERATIVA/ASSOCIAÇÃO;LOCAL DO GALPÃO
Construir e Cortrap*;SCIA Quadra 10, Conjunto 1, Lotes 2 e 3
Coopere;SIA Trecho 17, Lote 1.400
Coorace e Coopernoes;SIA Trecho 17, Rua 8 Lote 105
Plasferro e Cooperlimpo;SAAN Quadra 2, Lote 630 a 680
Ambiente;SMC Quadra 8, Lotes 4/5
*Cooperativa que não estava trabalhando no lixão, mas que ocupava a instalação no SCIA que foi ampliada.;
