COLETA E TRANSPORTE DE RESÍDUOS SÓLIDOS DOMICILIARES EM ÁREAS COMUNS E DE DIFÍCIL ACESSO (EM TONELADAS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;SET;OUT;NOV;DEZ;Total lote;;;Média;
;Lote I;;21.166,05;;;19.542,78;;;20.475,42;;;18.624,23;;;18.442,02;;;18.452,12;;;18.454,29;;;18.842,77;;19.260,43;20.106,14;21.231,27;24.128,98;238.726,50;;19.893,88;;
;Lote II;;18.877,68;;;17.170,93;;;18.399,54;;;16.418,63;;;16.346,19;;;16.228,75;;;15.959,53;;;16.033,42;;16.194,29;17.001,06;18.262,83;19.790,47;206.683,32;;17.223,61;;
;Lote III;;25.402,91;;;24.016,45;;;25.285,89;;;22.596,85;;;22.254,95;;;22.172,50;;;21.523,63;;;21.823,82;;22.261,85;23.560,06;25.397,98;27.376,010;283.672,90;;23.639,41;;
;Total;;65.446,64;;;60.730,16;;;64.160,85;;;57.639,71;;;57.043,16;;;56.853,37;;;55.937,45;;;56.700,01;;57.716,57;60.667,26;64.892,08;71.295,46;729.082,72;;60.756,89;;
