;Usinas TMB;;;;;;;;;;;;;;;;
;;;;Unidade;;;2014;;;2015;;;Diferença;;;;
Asa Sul;;;;Quantidade (T);;;50.862;;;26.534;;;- 24.328,0;;;48%;
;;;;Valor pago anual (R$);;;2.433.401;;;1.480.451;;;-952.950;;;39%;
;;;;Valor pago por tonelada;;;47,84;;;55,79;;;7,95;;;14%;
P Sul;;;;Quantidade (T);;;169.594;;;182.587;;;12.993;;;7%;
;;;;Valor pago anual (R$);;;8.246.457;;;9.576.153;;;1.329.696;;;16%;
;;;;Valor pago por tonelada;;;48,62;;;52,45;;;3,83;;;8%;
