Nº;ENTREGAS;STATUS
1;Fechamento do Aterro Controlado (antigo lixão da Estrutural);Realizado
2;Contratação de 14 cooperativas/associações de catadores para coleta e triagem de material reciclável;Realizado
3;Implantação de seis Papa Entulhos;Em andamento
4;Implantação de 36 Papa Lixos;Em andamento
5;Início da cobrança pela destinação dos resíduos da construção civil;Em andamento
6;Operação total dos grandes geradores;Realizado
7;Licitação dos novos contratos de coleta (incluindo a coleta seletiva);Em andamento
8;Entrega de três galpões construídos para manejo de materiais da coleta seletiva por cooperativas de catadores;Em andamento
