;QUANTITATIVOS MENSAIS RECEPCIONADOS NO ASB;;;;;;;;;;;;;;;;;;;;;;
;;;;Res. sól. Domiciliares (Kg);;;Caixa de gordura (Kg);;;Animais mortos (Kg);;;Caesb (Kg);;;Grandes Geradores (Kg);;;Lodo tratado chorume (Kg);;;Total (t);
;Janeiro;;64.742.420,0;;;5.360,0;;;6.860,0;;;885.980,0;;;1.826.580,0;;;-;;;;67.467,20;
;Fevereiro;;53.584.600,0;;;4.690,0;;;3.520,0;;;617.920,0;;;1.972.480,0;;;-;;;;56.183,21;
;Março;;58.803.760,0;;;6.110,0;;;4.940,0;;;740.440,0;;;1.912.890,0;;;-;;;;61.468,14;
;Abril;;58.519.250,0;;;5.630,0;;;5.940,0;;;559.190,0;;;1.796.180,0;;;-;;;;60.886,19;
;Maio;;58.107.550,0;;;6.250,0;;;3.080,0;;;448.020,0;;;1.886.110,0;;;180.050,0;;;;60.631,06;
;Junho;;52.673.260,0;;;5.740,0;;;4.370,0;;;751.570,0;;;1.831.980,0;;;428.580,0;;;;55.695,50;
;Julho;;53.914.450,0;;;7.460,0;;;5.980,0;;;968.670,0;;;1.771.150,0;;;527.340,0;;;;57.195,05;
;Agosto;;57.834.580,0;;;10.060,0;;;6.800,0;;;963.730,0;;;2.201.550,0;;;770.400,0;;;;61.787,12;
;Setembro;;55.008.580,0;;;10.340,0;;;4.890,0;;;1.046.930,0;;;2.447.540,0;;;82.310,0;;;;58.600,59;
;Outubro;;57.481.440,0;;;8.750,0;;;8.050,0;;;1.110.540,0;;;2.285.650,0;;;58.070,0;;;;60.952,50;
;Novembro;;62.990.770,0;;;9.070,0;;;4.180,0;;;801.720,0;;;3.267.490,0;;;100.110,0;;;;67.173,34;
;Dezembro;;66.556.370,0;;;6.690,0;;;6.210,0;;;1.097.560,0;;;3.228.290,0;;;1.490,0;;;;70.896,61;
;TOTAL;;;700.217.030,0;;;86.150,0;;;64.820,0;;;9.992.270,0;;;26.427.890,0;;;2.148.350,0;;;738.936,51;
