;DISTRIBUIÇÃO DA RECEITA GERADA PELOS MATERIAIS RECICLÁVEIS COMERCIALIZADOS - 2025 (CONTRATO NOVO);;;;;;;;;;;;;;;;;;;
;Mês/Material;;;Diversos;;;Metal;;;Papel;;;Plástico;;;Vidro;;;Total Geral;
;Janeiro;;R$ 1.615,00;;;R$ 31.559,45;;;R$ 31.625,84;;;R$ 48.271,73;;;-;;;;R$ 113.072,02;
;Fevereiro;;R$ 6.033,80;;;R$ 217.595,54;;;R$ 325.152,37;;;R$ 536.578,83;;;R$ 22.489,30;;;;R$ 1.107.849,84;
;Março;;R$ 9.791,16;;;R$ 219.872,76;;;R$ 534.225,40;;;R$ 1.253.449,63;;;R$ 143.475,14;;;;R$ 2.160.814,10;
;Abril;;R$ 11.348,47;;;R$ 254.300,20;;;R$ 735.899,81;;;R$ 1.461.743,35;;;R$ 30.541,18;;;;R$ 2.493.833,00;
;Maio;;R$ 10.003,70;;;R$ 233.328,22;;;R$ 631.672,78;;;R$ 1.191.923,98;;;R$ 28.734,66;;;;R$ 2.095.663,34;
;Junho;;R$ 16.113,57;;;R$ 272.454,16;;;R$ 671.027,19;;;R$ 1.186.235,94;;;R$ 40.859,76;;;;R$ 2.186.690,62;
;Julho;;R$ 39.890,19;;;R$ 295.748,99;;;R$ 790.108,40;;;R$ 1.275.547,89;;;R$ 36.338,16;;;;R$ 2.437.633,62;
;Agosto;;R$ 15.819,77;;;R$ 217.286,81;;;R$ 702.468,68;;;R$ 1.177.830,83;;;R$ 52.406,86;;;;R$ 2.165.812,95;
;Setembro;;R$ 15.854,01;;;R$ 8.178.476,15;;;R$ 730.892,82;;;R$ 2.168.613,52;;;R$ 40.226,60;;;;R$ 11.134.063,11;
;Outubro;;R$ 32.083,19;;;R$ 9.682.317,72;;;R$ 677.417,74;;;R$ 1.446.334,61;;;R$ 82.442,39;;;;R$ 11.920.595,65;
;Novembro;;R$ 14.025,91;;;R$ 8.125.887,88;;;R$ 779.203,43;;;R$ 1.012.915,29;;;R$ 29.230,01;;;;R$ 9.961.262,53;
;Dezembro;;R$ 12.970,13;;;R$ 6.041.997,63;;;R$ 640.086,58;;;R$ 965.544,52;;;R$ 32.728,79;;;;R$ 7.693.327,66;
;Total Geral;;;R$ 185.548,91;;;R$ 33.770.825,52;;;R$ 7.249.781,03;;;R$ 13.724.990,12;;;R$ 539.472,85;;;R$ 55.470.618,43;
