;GALPÃO PRÓPRIO VARJÃO;;;52,69;;;44,68;;;43,68;;;73,85;;;54,48;;;46,43;;;59,52;;;69,05;;;69,49;;;75,12;;;65,36;;;70,21;;;724,56;
;CRV;;;52,69;;;44,68;;;43,68;;;73,85;;;54,48;;;46,43;;;59,52;;;69,05;;;69,49;;;75,12;;;65,36;;;70,21;;;724,56;
;GALPÃO SOBRADINHO;;;155,56;;;143,71;;;159,33;;;168,21;;;168,94;;;186,86;;;256,29;;;241,20;;;265,55;;;312,49;;;296,94;;;370,29;;;2.725,37;
;COOPERDIFE;;;72,94;;;70,12;;;78,89;;;90,70;;;88,05;;;93,36;;;128,13;;;129,37;;;156,90;;;179,02;;;150,54;;;217,29;;;1.455,31;
;VALOR AMBIENTAL LTDA;;;82,62;;;73,59;;;80,44;;;77,51;;;80,89;;;93,50;;;128,16;;;111,83;;;108,65;;;133,47;;;146,40;;;153,00;;;1.270,06;
;IRR BRAZLÂNDIA;;;25,78;;;28,75;;;30,36;;;34,77;;;25,62;;;25,78;;;23,89;;;22,63;;;23,87;;;30,04;;;39,86;;;41,29;;;352,64;
;CRB;;;25,78;;;28,75;;;30,36;;;34,77;;;25,62;;;25,78;;;23,89;;;22,63;;;23,87;;;30,04;;;39,86;;;41,29;;;352,64;
;IRR P SUL;;;622,12;;;409,79;;;402,19;;;612,76;;;664,20;;;539,88;;;523,34;;;436,59;;;363,46;;;480,24;;;468,99;;;540,58;;;6.064,13;
;SUSTENTARE SANEAMENTO;;;536,84;;;357,99;;;348,01;;;542,02;;;598,19;;;479,39;;;455,48;;;372,88;;;304,52;;;406,31;;;396,67;;;468,99;;;5.267,29;
;SUMA BRASIL;;;0,00;;;1,72;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;1,72;
;COOPERE;;;39,89;;;36,16;;;32,60;;;34,73;;;33,26;;;30,98;;;33,62;;;29,66;;;24,91;;;33,40;;;37,19;;;36,90;;;403,30;
;PLASFERRO;;;45,39;;;13,92;;;21,58;;;36,01;;;32,75;;;29,51;;;34,24;;;34,05;;;34,03;;;40,53;;;35,13;;;34,69;;;391,82;
;IRR PARANOÁ;;;109,37;;;108,10;;;106,77;;;130,34;;;118,10;;;119,04;;;135,26;;;143,31;;;127,93;;;136,69;;;146,94;;;158,91;;;1.540,76;
;RECICLA MAIS BRASIL;;;40,81;;;39,10;;;42,98;;;49,83;;;36,87;;;33,15;;;36,15;;;37,89;;;35,40;;;34,15;;;36,89;;;35,25;;;458,47;
;RECICLA MAIS BRASIL II;;;68,56;;;69,00;;;63,79;;;80,51;;;81,23;;;85,89;;;99,11;;;105,42;;;92,53;;;102,54;;;110,05;;;123,66;;;1.082,29;
;IRR SCIA NOVO;;;368,76;;;474,38;;;476,67;;;469,59;;;398,85;;;395,11;;;508,12;;;538,68;;;520,52;;;588,50;;;637,85;;;579,78;;;5.956,81;
;SUMA BRASIL;;;77,53;;;87,37;;;77,37;;;65,89;;;98,99;;;58,65;;;122,81;;;95,44;;;110,47;;;125,35;;;72,87;;;172,32;;;1.165,06;
;VALOR AMBIENTAL LTDA;;;260,03;;;358,95;;;370,07;;;366,17;;;265,77;;;303,41;;;344,90;;;410,70;;;372,93;;;419,91;;;530,84;;;366,24;;;4.369,92;
;CORTRAP;;;31,20;;;28,06;;;29,23;;;37,53;;;34,09;;;33,05;;;40,41;;;32,54;;;37,12;;;43,24;;;34,14;;;41,22;;;421,83;
;SIA - LINHA DO TREM;;;530,63;;;436,98;;;430,92;;;402,50;;;355,83;;;420,30;;;509,05;;;512,74;;;383,79;;;450,82;;;406,20;;;382,63;;;5.222,39;
;SUMA BRASIL;;;449,97;;;386,51;;;392,52;;;361,53;;;330,06;;;391,37;;;476,83;;;480,62;;;355,00;;;423,33;;;379,21;;;344,20;;;4.771,15;
;VALOR AMBIENTAL LTDA;;;61,40;;;31,71;;;21,94;;;21,91;;;7,59;;;13,31;;;14,56;;;15,18;;;13,83;;;10,25;;;11,73;;;22,71;;;246,12;
;RENASCER;;;19,26;;;18,76;;;16,46;;;19,06;;;18,18;;;15,62;;;17,66;;;16,94;;;14,96;;;17,24;;;15,26;;;15,72;;;205,12;
