CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;;;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
;;;ASSINATURA/;;;;;;;
;;;INÍCIO DA VIGÊNCIA;;;;;;;
;;;;;;NECESSIDADES DAS INSTALAÇÕES.;;;;
41/2025;DF TURISMO E EVENTOS LTDA;09/05/2025;;;;O CONTRATO TEM POR OBJETO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA;;08/11/2025;R$ 136.000,00;MILTON PEREIRA BARROS FILHO, JULIA BORGES JEVEAUX, ANDRA CAROLINA FERREIRA DE OLIVEIRA SOARES
;;;;;;NA PRESTAÇÃO DE SERVIÇO DE FORNECIMENTO DE ALIMENTOS PARA;;;;
;;;;;;REALIZAÇÃO DE EVENTO, CONFORME CONDIÇÕES E EXIGÊNCIAS ESTABELECIDAS;;;;
;;;;;;NO EDITAL DE PREGÃO ELETRÔNICO Nº 90005/2024 - COREN-RN (SEI Nº;;;;
;;;;;;169572696) E SEUS ANEXOS, OS QUAIS INTEGRAM ESTE INSTRUMENTO,;;;;
;;;;;;INDEPENDENTE DE TRANSCRIÇÃO.;;;;
40/2025;BRASITUR EVENTOS E TURISMO LTDA;09/05/2025;;;;O CONTRATO TEM POR OBJETO A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA;;09/11/2025;R$ 1.123.965,08;MILTON PEREIRA BARROS FILHO, JULIA BORGES JEVEAUX, ANDRA CAROLINA FERREIRA DE OLIVEIRA SOARES
;;;;;;NA PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE ESPAÇO FÍSICO, INFRAESTRUTURA,;;;;
;;;;;;ORNAMENTAÇÃO PARA REALIZAÇÃO DE EVENTO, CONFORME ESPECIFICAÇÕES E;;;;
;;;;;;QUANTITATIVOS ESTABELECIDOS NO EDITAL DO PREGÃO ELETRÔNICO Nº;;;;
;;;;;;90017/2024 - MPEG-PA (SEI Nº 169569715) E SEUS ANEXOS, OS QUAIS;;;;
;;;;;;INTEGRAM ESTE INSTRUMENTO, INDEPENDENTE DE TRANSCRIÇÃO.;;;;
38/2025;FRAL CONSULTORIA LTDA;29/04/2025;;;;O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE EMPRESA;;29/04/2026;R$ 1.590.838,18;GABRIEL AUGUSTO FERREIRA RO, GUSTAVO PEREIRA DE MENEZES, THIAGO BRAGA PINHEIRO, MAURÍCIO DE GOIS GOMES, GABRIEL MENDES DOS SANTOS
;;;;;;ESPECIALIZADA NA PRESTAÇÃO DOS SERVIÇOS PARA ELABORAÇÃO DE PROJETO;;;;
;;;;;;PARA A IMPLANTAÇÃO DA EXPANSÃO DO ATERRO SANITÁRIO DE BRASÍLIA,;;;;
;;;;;;CONTEMPLANDO APROVEITAMENTO ENERGÉTICO DOS GASES GERADOS NO;;;;
;;;;;;MACIÇO DO ASB, BEM COMO ESTUDOS AMBIENTAIS DETALHADOS, CONFORME;;;;
;;;;;;ESPECIFICAÇÕES CONTIDAS NO PROJETO BÁSICO, ANEXO DO EDITAL.;;;;
