;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;;36,0;;;3,0;
;Lote II;;7,7;;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;8,0;;;;95,0;;;7,9;
;Lote III;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;;24,0;;;2,0;
;Total;;;12,7;;;12,9;;;12,9;;;12,9;;;12,9;;;12,9;;;12,9;;;12,9;;;12,9;;;12,9;;;12,9;;;13,0;;;155,0;;;12,9;
