;DIRETORIAS;;;PREENCHIDOS;;;VAGOS;;;TOTAL;
;PRESIDÊNCIA;;36;;;0;;;36;;
;DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;33;;;0;;;33;;
;DIRETORIA DE LIMPEZA URBANA;;54;;;0;;;54;;
;DIRETORIA DE MODERNIZAÇÃO E GESTÃO TECNOLÓGICA;;18;;;0;;;18;;
;DIRETORIA TÉCNICA;;20;;;0;;;20;;
;PROCURADORIA JURÍDICA;;7;;;0;;;7;;
;TOTAL;;;168;;;0;;;168;
