;;;JAN;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total lote;;;Média;
;Lote I;;718,39;736,83;;721,02;;;657,54;;;584,94;;;647,28;;;664,30;;;721,51;;;879,07;;;752,83;;;737,48;;;814,02;;;8.635,21;;;719,60;;
;Lote II;;278,24;255,67;;331,12;;;338,87;;;338,39;;;439,93;;;460,40;;;404,59;;;330,16;;;373,10;;;528,13;;;462,98;;;4.541,58;;;378,47;;
;Lote III;;1.029,20;1.059,07;;1.093,60;;;935,62;;;821,98;;;840,32;;;891,64;;;831,81;;;858,46;;;907,00;;;1.001,94;;;1.172,18;;;11.442,82;;;953,57;;
;Total;;2.025,83;2.051,57;;;2.145,74;;;1.932,03;;;1.745,31;;;1.927,53;;;2.016,34;;;1.957,91;;;2.067,69;;;2.032,93;;;2.267,55;;;2.449,18;;;24.619,61;;;2.051,63;
