Equipamentos dos aterros;/oiopa oãçazilacsfi ed olucíeV;aciluárdih ariedavacsE;icetsaba )asolem( ed oãhnimaC otnem;arodatropsnart emurohc aterraC ed;apip oãhnimaC;arodalevinotoM;airecorrac oãhnimaC;rodareG;abmobotoM;oiobmoc oãhnimaC;assof-apmil oãhnimaC;ariedagerrac áP;arietse rotarT;abmaçac odacurt oãhnimaC;rodarutirt/rodaciP sohlag ed;levóm arietse rodatirB erbos;ariedavacseorteR;rodatcapmoc oloR;ariedagerraciniM;uenp rotarT;etnalucsab aterraC;airótacfiissalC arieneP;latoT
Unidade de Recebimento de Entulho (URE);6;2;-;3;4;1;-;-;-;1;-;2;4;3;1;1;-;-;-;-;1;1;30
CONSÓRCIO GAE Operação e Manutenção do ASB;5;4;-;-;3;1;1;2;6;1;1;1;6;8;-;-;1;3;-;1;-;-;44
TOTAL;11;6;0;3;7;2;1;2;6;2;1;3;10;11;1;1;1;3;0;1;1;1;74
