;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;Média;
;Lote I;803,75;;688,10;706,77;687,69;668,76;646,59;699,68;775,30;795,05;770,28;652,71;714,28;8.608,96;717,41;
;Lote II;424,15;;503,09;490,12;480,32;404,55;441,88;455,99;511,21;480,48;537,00;498,39;524,87;5.752,05;479,34;
;Lote III;497,18;;461,89;783,18;901,06;587,66;401,21;445,83;398,51;432,99;570,32;491,18;1.242,41;7.213,42;601,12;
;Total;;1.725,08;1.653,08;1.980,07;2.069,07;1.660,97;1.489,68;1.601,50;1.685,02;1.708,52;1.877,60;1.642,28;2.481,56;21.574,43;1.797,87;
