SÍNTESE DE PALESTRAS, CURSOS E TREINAMENTOS REALIZADOS EM 2023;;;;;;;;;;;
1º TRIMESTRE;;;;;;;;;;;
;CURSOS;;;EVENTO;;;ÓRGÃO;;;N.º DE SERVIDORES CERTIFICADOS;
CURSO;;;Orçamento Público;;;ILB;;;1;;
;;;Gestão Pessoal - Base da Liderança;;;ENAP;;;1;;
;;;E-liderança: como gerenciar e liderar equipes em ambientes remotos;;;;;;2;;
;;;Comunicação não violenta;;;;;;3;;
;;;Previdência Complementar para Servidores Públicos;;;;;;2;;
;;;Gestão de Conflitos e Negociação;;;;;;3;;
;;;Gestão em Ouvidoria;;;;;;1;;
;;;Gestão por Competências;;;;;;1;;
;;;Termo de Referência ou Projeto Básico para a Contratação de TIC – Avançado;;;;;;1;;
;;;Contabilidade com Foco na Gestão do Patrimônio Público;;;;;;1;;
;;;Criação de Indicadores de Desempenho para aTransformação Digital;;;;;;1;;
;;;Introdução à Gestão de Riscos;;;;;;2;;
;;;Análise e Melhoria de Processos;;;;;;1;;
;;;Atuação Gerencial das Ouvidorias para Melhoria da Gestão Pública;;;;;;1;;
