;UTMB PSUL - UNIDADE DE TRATAMENTO MECÂNICO BIOLÓGICO DA CEILÂNDIA (PSUL);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mês;;;;Operação, Controle E;;Custo por tonelada*;;;Operação De Compostagem;;;Custo por tonelada*;;;Transporte De Rejeito E Composto Cru;;;Custo por tonelada*;;;Transporte De Chorume;;;Custo por viagem*;;;Custo Total;;
;;;;Manutenção Com;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Produção De;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Composto Cru;;;;;;;;;;;;;;;;;;;;;;;;;
;Janeiro;;R$ 1.026.642,94;;;R$ 59,32;;;R$ 266.611,53;;;R$ 35,10;;;R$ 988.527,65;;;R$ 44,94;;;R$ 364.713,75;;;R$ 972,57;;;;R$ 2.646.495,87;
;Fevereiro;;R$ 891.051,06;;;R$ 59,59;;;R$ 229.407,66;;;R$ 34,24;;;R$ 869.018,53;;;R$ 42,40;;;R$ 309.640,50;;;R$ 924,30;;;;R$ 2.299.117,75;
;Março;;R$ 982.828,60;;;R$ 59,59;;;R$ 234.248,17;;;R$ 34,24;;;R$ 959.574,75;;;R$ 42,40;;;R$ 195.027,30;;;R$ 924,30;;;;R$ 2.371.678,82;
;Abril;;R$ 1.018.977,99;;;R$ 61,90;;;R$ 256.750,45;;;R$ 36,20;;;R$ 1.045.573,46;;;R$ 42,93;;;R$ 240.609,28;;;R$ 939,88;;;;R$ 2.561.911,18;
;Maio;;R$ 967.394,25;;;R$ 61,90;;;R$ 254.212,93;;;R$ 37,30;;;R$ 975.173,41;;;R$ 42,93;;;R$ 69.551,12;;;R$ 939,88;;;;R$ 2.266.331,71;
;Junho;;R$ 829.628,99;;;R$ 61,90;;;R$ 226.038,37;;;R$ 37,30;;;R$ 790.054,53;;;R$ 42,93;;;-;;;R$ 939,88;;;;R$ 1.845.721,89;
;Julho;;R$ 908.513,73;;;R$ 61,90;;;R$ 256.160,36;;;R$ 37,30;;;R$ 845.513,65;;;R$ 42,93;;;-;;;R$ 939,88;;;;R$ 2.010.187,74;
;Agosto;;R$ 1.006.653,08;;;R$ 61,90;;;R$ 266.119,83;;;R$ 37,30;;;R$ 928.985,45;;;R$ 42,93;;;-;;;R$ 939,88;;;;R$ 2.201.758,36;
;Setembro;;R$ 923.606,19;;;R$ 61,90;;;R$ 254.660,90;;;R$ 37,30;;;R$ 918.199,29;;;R$ 42,93;;;-;;;R$ 939,88;;;;R$ 2.096.466,38;
;Outubro;;R$ 1.065.312,00;;;R$ 61,90;;;R$ 286.844,09;;;R$ 37,30;;;R$ 1.095.212,56;;;R$ 42,93;;;R$ 43.234,48;;;R$ 939,88;;;;R$ 2.490.603,13;
;Novembro;;R$ 1.159.272,49;;;R$ 61,90;;;R$ 292.354,42;;;R$ 37,30;;;R$ 1.107.350,59;;;R$ 42,93;;;R$ 282.903,88;;;R$ 939,88;;;;R$ 2.841.881,38;
;Dezembro;;R$ 1.055.912,48;;;R$ 61,90;;;R$ 295.658,45;;;R$ 37,30;;;R$ 1.068.832,93;;;R$ 42,93;;;R$ 279.144,36;;;R$ 939,88;;;;R$ 2.699.548,22;
;TOTAL;;;R$ 11.835.793,80;;;;;;R$ 3.119.067,16;;;;;;R$ 11.592.016,80;;;;;;R$ 1.784.824,67;;;;;;R$ 28.331.702,43;
;Média;;;R$ 986.316,15;;;;;;R$ 259.922,26;;;;;;R$ 966.001,40;;;;;;R$ 148.735,39;;;;;;R$ 2.360.975,20;
