PRINCIPAIS COMPRADORES;
COMPRADOR;PESO COMPRADO (TON)
CAPITAL RECICLÁVEIS;6.983,39
JOSIVAN BEZERRA DE MENEZ EIRELI;1.159,37
GREEN SOLUÇÕES EM TECNOLOGIA AMBIENTAL LTDA;978,21
T.R.G - COMÉRCIO, RECICLAGEM DE SUCATAS EIRELI;969,19
REDE ALTERNATIVA;674,81
CENTRAL DAS COOPERATIVAS DE TRABALHO DE CATADORES;621,63
DANNAPLAS - INDÚSTRIA E COMERCIO DE PLÁSTICOS EIRELI;600,54
PARAÍSO RECICLAGEM EIRELI;599,30
ES COMÉRCIO DE RECICLÁVEIS LTDA;533,10
ME COMÉRCIO DE PAPELÃO LTDA ME;443,57
TOTAL;13.563,11
