;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;159,34;;;193,77;;;164,96;;;225,77;;;189,52;;;188,10;;;232,09;;;184,77;;;225,42;;;249,84;;;235,19;;;280,12;;;;2.528,89;;;210,74;
;Asa sul;;127,53;;;255,18;;;121,69;;;156,34;;;177,97;;;138,68;;;163,16;;;139,73;;;136,09;;;175,78;;;179,88;;;204,46;;;;1.976,49;;;164,71;
;Brazlândia 1;;18,18;;;15,59;;;15,36;;;18,21;;;10,70;;;22,47;;;16,69;;;34,37;;;12,89;;;26,55;;;28,05;;;13,56;;;;232,62;;;19,39;
;Brazlândia 2;;18,53;;;19,81;;;28,32;;;13,98;;;28,58;;;14,86;;;12,84;;;11,62;;;14,68;;;20,63;;;13,58;;;29,53;;;;226,96;;;18,91;
;Ceilândia 1;;304,85;;;239,21;;;311,20;;;258,39;;;294,65;;;271,54;;;293,48;;;276,98;;;246,56;;;336,11;;;254,43;;;338,34;;;;3.425,74;;;285,48;
;Ceilândia 2;;187,38;;;194,40;;;237,84;;;178,24;;;341,43;;;208,38;;;233,55;;;187,00;;;215,23;;;391,86;;;223,75;;;251,77;;;;2.850,83;;;237,57;
;Gama 1;;248,18;;;209,19;;;248,22;;;230,01;;;277,23;;;203,60;;;287,18;;;242,08;;;263,58;;;320,76;;;260,04;;;287,48;;;;3.077,55;;;244,80;
;Gama 2;;173,03;;;187,57;;;180,30;;;182,85;;;216,25;;;182,37;;;189,70;;;173,05;;;204,33;;;250,89;;;218,43;;;208,77;;;;2.367,54;;;197,30;
;Guará 1;;362,39;;;190,92;;;229,54;;;280,05;;;243,49;;;205,36;;;277,78;;;312,46;;;276,77;;;220,08;;;360,66;;;489,01;;;;3.448,51;;;287,38;
;Guará 2;;207,66;;;196,17;;;222,52;;;204,71;;;202,40;;;155,45;;;178,69;;;175,74;;;208,79;;;341,23;;;221,66;;;243,69;;;;2.558,71;;;213,23;
;Lago Norte;;-;;;-;;;-;;;-;;;7,78;;;34,59;;;27,68;;;46,25;;;50,37;;;227,14;;;58,83;;;76,71;;;;529,35;;;44,11;
;Paranoá;;188,70;;;213,37;;;214,72;;;222,85;;;256,07;;;147,62;;;242,85;;;240,94;;;227,18;;;193,78;;;241,56;;;277,42;;;;2.667,06;;;222,26;
;Planaltina;;162,76;;;119,55;;;100,20;;;132,88;;;105,90;;;106,31;;;171,28;;;106,41;;;148,93;;;260,32;;;145,87;;;151,11;;;;1.711,52;;;142,63;
;Pôr do Sol;;103,40;;;109,94;;;123,01;;;88,45;;;141,65;;;118,26;;;132,10;;;115,12;;;116,70;;;117,31;;;110,12;;;156,83;;;;1.432,89;;;119,41;
;Recanto das Emas;;123,54;;;120,42;;;138,85;;;112,30;;;141,25;;;84,14;;;118,62;;;121,03;;;128,90;;;152,61;;;101,45;;;161,06;;;;1.504,17;;;125,35;
;Samambaia;;181,33;;;127,98;;;155,19;;;172,60;;;166,29;;;167,08;;;204,54;;;179,30;;;150,01;;;208,49;;;174,90;;;208,71;;;;2.096,42;;;174,70;
;Santa Maria 1;;145,42;;;116,18;;;156,24;;;126,38;;;153,92;;;124,43;;;155,88;;;140,09;;;127,54;;;185,28;;;156,27;;;168,12;;;;1.755,75;;;146,31;
;Santa Maria 2;;78,27;;;55,22;;;66,51;;;69,07;;;111,41;;;77,87;;;117,46;;;114,15;;;115,19;;;171,44;;;89,66;;;97,50;;;;1.163,75;;;96,98;
;São Sebastião 1;;74,53;;;94,68;;;93,32;;;101,11;;;84,80;;;93,79;;;142,31;;;105,90;;;132,86;;;152,14;;;130,08;;;150,60;;;;1.356,12;;;113,01;
;São Sebastião 2;;80,91;;;68,62;;;93,93;;;78,70;;;86,27;;;52,14;;;88,16;;;87,89;;;85,32;;;150,99;;;97,31;;;113,81;;;;1.084,05;;;90,34;
;Sobradinho I – 1;;149,38;;;172,95;;;184,39;;;207,29;;;180,89;;;191,24;;;206,86;;;204,12;;;214,57;;;240,62;;;245,08;;;246,17;;;;2.443,56;;;203,63;
;Sobradinho I – 2;;153,83;;;140,28;;;141,58;;;149,77;;;209,40;;;188,66;;;207,99;;;239,76;;;205,94;;;242,10;;;208,01;;;275,84;;;;2.363,16;;;196,93;
;Sobradinho II;;160,22;;;175,02;;;177,97;;;194,38;;;214,59;;;168,17;;;226,25;;;164,66;;;194,79;;;208,13;;;202,09;;;201,67;;;;2.287,94;;;190,66;
;Taguatinga;;351,37;;;277,88;;;363,23;;;337,89;;;387,11;;;356,42;;;423,19;;;433,01;;;290,77;;;317,36;;;430,94;;;418,17;;;;4.387,34;;;365,61;
;TOTAL;;;3.760,73;;;3.493,90;;;3.769,09;;;3.742,22;;;4.229,55;;;3.501,53;;;4.350,33;;;4.036,43;;;3.993,41;;;5.161,44;;;4.382,72;;;5.050,45;;;49.158,08;;;4.111,41;
