Programa de Trabalho;Lei;Alteração;Contingenciado;Bloqueado;Desp. Autorizada;Empenhado;Disponível;Liquidado
Manutenção das Atividades de Limpeza Pública;;4.991.875,00;;;4 .991.875,00;4 .991.875,00;-;4 .606.829,59
TOTAL GERAL DAS DESPESAS;4 72.234.656,00;131.658.120,00;-;-;5 41.922.866,00;5 32.605.060,69;9.317.805,31;5 10.278.606,57
