;Fevereiro;;0,00;;;1183,98;;;5.646,75;;;1.171,90;;;452,47;;;419,07;;8.874,17;;
;Março;;0,00;;;102,22;;;2802,83;;;791,33;;;0,00;;;10,54;;3.706,92;;
;Abril;;0;;;333,57;;;3.684,88;;;393,10;;;0,00;;;0,00;;4.411,55;;
;Maio;;155,11;;;82,77;;;718,25;;;0,00;;;0,00;;;0,00;;956,13;;
;Junho;;0,00;;;124,51;;;1.384,53;;;141,05;;;0,00;;;0,00;;1.650,09;;
;Julho;;13,59;;;96,38;;;8.806,83;;;610,62;;;7,32;;;9,92;;9.534,74;;
;Agosto;;1,16;;;0,00;;;11.104,64;;;382,11;;;0,00;;;0,00;;11.487,91;;
;Setembro;;374,40;;;0,00;;;7.058,90;;;598,51;;;0,00;;;0,00;;8.031,81;;
Outubro;;;0,00;;;0,00;;;4.897,86;;;142,35;;;0,00;;;0,00;;5.040,21;;
Novembro;;;0,00;;;0,00;;;5.500,85;;;1.045,00;;;29,92;;;0,00;;6.575,77;;
Dezembro;;;36,53;;;0,00;;;4.991,24;;;1.510,28;;;1.436,14;;;0,00;;7.937,66;;
;Dezembro;;;;;;;;;;;;;;;;;;;;;
;TOTAL;;;595,73;;;3.867,81;;;61.276,89;;;8.137,57;;;3.259,15;;;2.573,91;;79.664,61;
