TRANSBORDO (EM TONELADAS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total lote;Média
Asa Sul (Rejeito de resíduo);3.715;2.981;3.822;2.760;3.500;2.829;2.238;3.521;2.177;4.415;3.891;3.885;39.734;3.311
Brazlândia (Rejeito de resíduo);1.319;1.185;1.294;1.613;1.314;1.043;1.197;1.161,05;1.113;1.200;1.320;1.395;13.994;1.272
Ceilândia PSul (Rejeito de resíduo);12.450;12.935;11.509;14.649;17.421;12.278;12.058;9.984;9.360;9.047;404;-;122.095;10.175
Gama (Rejeito de resíduo);9.539;8.565;9.061;9.157;8.854;7.860;8.491;8.615;8.412;12.824;15.617;16.976;123.971;10.331
