ATIVIDADES;QUANTIDADE;PÚBLICO BENEFICIADO
Palestras;4;225
Visita Técnica - URE;1;2
Visita Técnica -IRR SCIA;2;22
Visita Técnica -Usina P Sul;2;25
Museu da Limpeza Urbana;1;10
Eventos;2;1500
Seminários Virtuais;5;3884
Coleta Seletiva Consciente;37;510
Campanha Continue Acertando;16;9211
Atendimento Ouvidoria;54;54
Total;;15.443
