PALESTRAS, CURSOS E TREINAMENTOS COORDENADOS PELO NÚCLEO DE CAPACITAÇÃO 2020;;;;;
DIA;MÊS;TEMA;PALESTRANTES INSTRUTORES;PRESENTES;PÚBLICO
5;Fevereiro;109º CREA Itinerante: Acordo de cooperação nº4/2019, assinado pelo SLU/DF e CREA/DF;José Gilberto Campos, Alisson Barbosa, Marcos Júnior, Clarissa Dangiolella e André Peres;29;Servidores do SLU e convidados
6;Março;110º Vem saber, Mulher;Sarah Costa Athayde Nunes e Francisca Rodrigues da Silva;43;
Total de servidores;;;;72;
