;CTR, IRR PSUL, IRR SCIA NOVO, IRR SAAN, e SIA - Trecho 17;;;;;
;Mês;;;Quantidade Mensal Recuperada (Ton);;Aproveitamento (%)
Janeiro;;;820,94;;;40%
Fevereiro;;;673,38;;;33%
Março;;;914,77;;;40%
Abril;;;794,18;;;37%
Maio;;;884,20;;;43%
Junho;;;680,92;;;34%
Julho;;;783,16;;;39%
Agosto;;;769,37;;;38%
Setembro;;;813,17;;;39%
Outubro;;;836,05;;;39%
Novembro;;;810,50;;;36%
Dezembro;;;857,82;;;35%
;TOTAL;;;9.638,47;;38%
