;QUANTITATIVO DE REJEITO DESTINADO AO ASB APÓS TIRAGEM NAS IRRS;;;;
;UNIDADE DE TRIAGEM;;;SOMA DE PESO TOTAL (KG);
;CTR 1;;8.196.040,00;;
;CTR 2;;13.009.910,00;;
;GALPÃO PRÓPRIO CEILÂNDIA;;107.220,00;;
;GALPÃO PRÓPRIO SANTA MARIA;;365.970,00;;
;GALPÃO PRÓPRIO SÃO SEBASTIÃO;;292.300,00;;
;GALPÃO PRÓPRIO SOBRADINHO;;604.610,00;;
;GALPÃO PRÓPRIO VARJÃO;;214.050,00;;
;GALPÃO SOBRADINHO;;336.050,00;;
;IRR BRAZLÂNDIA;;14.320,00;;
;IRR P SUL;;3.625.460,00;;
;IRR PARANOÁ;;312.852,60;;
;IRR SCIA NOVO;;2.972.680,00;;
;SIA - LINHA DO TREM;;35.570,00;;
;IRR SAAN;;57.930,00;;
;URE ESTRUTURAL;;108.090,00;;
;TOTAL;;;30.253.052,60;
