;;;Convênio 001/2012;;Convênio 002/2012;;Convênio 003/2012;;;Convênio 001/2013;;;Total
Valor;;;5.599.164,82;;408.636,89;;16.776.248,02;;;4.347.725,86;;;26.723.138,70
Executado;;;468.845,48;;-;;12.178.881,73;;;-;;;12.647.727,21
Liquidado;;;-;;-;;7.318.664,00;;;-;;;7.318.664,00
Executado;;-;;;-;4.860.217,73;;;-;;;4.860.217,73;
e não;;;;;;;;;;;;;
Liquidado;;;;;;;;;;;;;
Restante;;;5.599.164,82;;408.636,89;;9.457.584,02;;;4.347.725,86;;;19.404.474,70
