;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;Média;
;Lote I;1.815,75;;1.644,62;1.583,71;1.666,12;1.654,10;1.540,30;1.710,90;1.691,29;1.587,57;1.840,58;1.753,57;1.848,06;20.336,57;1.694,71;
;Lote II;958,22;;851,25;891,71;883,23;838,71;755,17;759,93;756,61;728,96;803,40;803,53;990,84;10.021,56;835,13;
;Lote III;1.603,59;;1.423,92;1.387,39;1.470,33;1.460,40;1.452,73;1.592,27;1.511,97;1.482,47;1.672,62;1.629,56;1.807,37;18.494,62;1.541,22;
;Total;;4.377,56;3.919,79;3.862,81;4.019,68;3.953,21;3.748,20;4.063,10;3.959,87;3.799,00;4.316,60;4.186,66;4.646,27;48.852,75;4.071,06;
