;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
Aluguel dos Galpões;R$ 73.300;R$ 78.105;R$ 73.300;R$ 73.300;R$ 73.300;R$ 73.300;R$ 73.300;R$ 73.300;R$ 73.300;R$ 69.545;R$ 69.545;R$ 69.545;R$ 873.140
Aluguel da Sede Adm.;R$ 111.126;R$ 116.378;R$ 114.671;R$ 114.936;R$ 114.936;R$ 114.936;R$ 114.936;R$ 114.936;R$ 109.955;R$ 103.442;R$ 103.442;R$ 103.442;R$ 1.337.137
Condomínio;R$ 22.756;R$ 22.756;R$ 22.756;R$ 24.310;R$ 24.310;R$ 24.328;R$ 24.310;R$ 24.310;R$ 23.257;R$ 21.879;R$ 21.879;R$ 21.879;R$ 278.730
Total;R$ 207.182;R$ 217.239;R$ 210.727;R$ 212.546;R$ 212.546;R$ 212.564;R$ 212.546;R$ 212.546;R$ 206.512;R$ 194.866;R$ 194.867;R$ 194.867;R$ 2.489.007
