Nº;CONTRATO;EMPRESA;DATA DE ASSINATURA/ INÍCIO DA VIGÊNCIA;OBJETO;DATA DO TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES;OBS
11;11/2018;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLAGEM AMBIENTAL - COOPERE;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;31/01/2020;MENSAL: R$ 27.372,60 ANUAL: R$ 328.471,20;HALLANA DE SOUSA CARDOSO/SÉRGIO LOPES DE OLIVEIRA/JOSÉ ROMILDO DOS SANTOS;VIGENTE
12;12/2018;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - CONSTRUIR;16/01/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;16/01/2021;MENSAL: R$ 60.828,00 ANUAL: R$ 729.936,00;SARA EVANGELISTA CARNEIRO DA SILVA/ GERCIVAL SOARES RIBEIRO/CLEIDE GONÇALVES SILVA;VIGENTE
13;31/2018;RECICLE A VIDA COOPERATIVA DE CATADORES DO DF;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 91.174,50 ANUAL: R$ 1.094.094,00;FRANCISCO ANTÔNIO MENDES JORGE/ JOÃO EUDES DOS SANTOS/JORGE ANTÔNIO DA COSTA;VIGENTE
14;32/2018;ASSOCIAÇÃO DOS CATADORES DE PAPEL, PAPELÃO E MATERIAIS RECICLÁVEIS DO GUARA - CATAGUAR.;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 54.582,00 ANUAL: R$ 654.984,00;HALLANA DE SOUSA CARDOSO/SÉRGIO LOPES DE OLIVEIRA/JOSÉ ROMILDO DOS SANTOS;VIGENTE
15;33/2018;COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS RENASCER;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 21.289,80 ANUAL: R$ 255.477,60;THAIS DE PAIVA RODRIGUES MARTINS LOPES/MARIA NILVA ALMEIDA PRADO/ ANA CRISTINA CAVALCANTE ARANHA;VIGENTE
16;34/2018;ASSOCIAÇÃO DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE BRAZLÂNDIA - ACOBRAZ;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 22.329,00 ANUAL: R$ 267.948,00;FRANCISCO ANTÔNIO MENDES JORGE/ JOÃO EUDES DOS SANTOS/JORGE ANTÔNIO DA COSTA;VIGENTE
17;35/2018;ASSOCIAÇÃO DE CATADORES RECICLA MAIS BRASIL;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 30.414,00 ANUAL: R$ 364.968,00;RAISSA MARIA COMETA MOTA MORUZZI/ JOAQUINA FONSECA DA SILVA/ELIAS ESCOLA;VIGENTE
18;36/2018;COOPERATIVA POPULAR DE COLETA SELETIVA DE PRODUTOS RECICLÁVEIS COM FORMAÇÃO EM EDUCAÇÃO AMBIENTAL - COOPATIVA;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 18.248,40 ANUAL: R$ 218.980,80;THAIS DE PAIVA RODRIGUES MARTINS LOPES/MARIA NILVA ALMEIDA PRADO/ ANA CRISTINA CAVALCANTE ARANHA;VIGENTE
19;37/2018;COOPERATIVA RENOVE DE RESÍDUOS SÓLIDOS DE BRASÍLIA - CRRSB;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 18.248,40 ANUAL: R$ 218.980,80;AILTON OLIVEIRA ROCHA/FRANCISCO ANTÔNIO MENDES JORGE/JOSÉ NILTON ARRAIS DA SILVA;VIGENTE
20;38/2018;COOPERATIVA DE RECICLAGEM O DISTRITO FEDERAL E ENTORNO - COOPERDIFE;04/06/2018;PROCESSAMENTO DE RESÍDUOS SÓLIDOS;04/06/2020;MENSAL: R$ 54.745,20 ANUAL: R$ 656.942,40;RAISSA MARIA COMETA MOTA MORUZZI/ JOAQUINA FONSECA DA SILVA/ELIAS ESCOLA;VIGENTE
