Nº;REGIÃO ADMINISTRATIVA;ENDEREÇO;ÁREA TOTAL;ÁREA CONSTRUÍDA;UNIDADE OCUPANTE
01;Brasília;Setor de Áreas Isoladas Sul, Lote 05 Saída Sul – Asa Sul;116.469,07 m²;9.737,18 m²;NUSUL
02;Brasília;SGO Quadra 05, Lote 23, Saída Norte – Asa Norte;50.000 m²;4.150 m²;NUNOR
03;Taguatinga;Área Especial nº 09, Setor QNG;7.200 m²;765,57 m²;NUTAG
04;Ceilândia;Área Especial nº24, módulo “G” a “K”;25.000 m²;532,98 m²;NUCEI
05;Gama;Setor Leste, Área Reservada 01;4.800 m²;306,33 m²;
06;Gama;Lote 02, Áreas Isoladas as Margens da Av. Contorno;80.000 m²;-----;NUGAM
07;Brazlândia;S. Norte, Área Especial 02 Lotes I, I1, J, J1, K, K1, L, L1;12.000 m²;277,26 m²;NUBRA
