;;;Maio;;;27,44;;;3,17;
;;;Junho;;;28,94;;;4,11;
;;;Julho;;;26,51;;;5,09;
;;;Agosto;;;34,96;;;7,21;
;;;Setembro;;;34,80;;;2,58;
;;;Outubro;;;33,67;;;2,97;
;;;Novembro;;;28,34;;;2,55;
;;;Dezembro;;;45,41;;;2,57;
;;;TOTAL;;;382,99;;;44,28;
;TOTAL;;;;;4.986,44;;;1.230,86;
