RA;POPULAÇÃO
Águas Claras;161.278
Brazlândia;63.414
Candangolândia;16.489
Ceilândia;437.309
Cruzeiro;31.079
Fercal;9.365
Gama;142.420
Guará;134.255
Itapoã;62.208
Jardim Botânico;55.438
Lago Norte;36.987
Lago Sul;30.072
Núcleo Bandeirante;23.917
